,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,426,1489,428,1217,0,-1
1,424,1490,428,1218,0,-1
2,422,1489,432,1221,0,-1
3,425,1489,429,1218,0,-1
4,426,1489,429,1217,0,-1
5,425,1488,428,1216,0,-1
6,421,1490,430,1220,0,-1
7,422,1491,426,1222,0,-1
8,423,1491,429,1224,0,-1
9,423,1491,429,1226,0,-1
10,421,1492,427,1234,0,-1
11,421,1498,428,1252,0,-1
12,428,1501,429,1267,0,-1
13,425,1500,429,1293,0,-1
14,423,1505,422,1311,0,-1
15,417,1505,421,1301,0,-1
16,424,1498,427,1274,0,-1
17,430,1495,437,1242,0,-1
18,438,1496,443,1198,0,-1
19,437,1497,445,1157,0,-1
20,442,1497,449,1119,0,-1
21,444,1493,452,1027,1,-1
22,447,1486,458,990,1,-1
23,445,1483,457,949,1,-1
24,446,1480,456,919,1,-1
25,439,1470,453,882,1,-1
26,439,1467,445,852,1,-1
27,430,1461,445,846,1,-1
28,428,1460,439,848,1,-1
29,427,1462,436,869,1,-1
30,424,1458,434,914,1,-1
31,427,1464,433,986,1,-1
32,426,1466,431,1113,0,-1
33,420,1469,429,1217,0,-1
34,423,1472,427,1299,0,-1
35,422,1479,427,1326,0,-1
36,425,1484,426,1271,0,-1
37,422,1485,425,1192,0,-1
38,416,1480,425,1116,0,-1
39,420,1483,430,996,1,-1
40,422,1477,428,957,1,-1
41,421,1477,425,924,1,-1
42,417,1472,430,914,1,-1
43,414,1474,422,920,1,-1
44,417,1472,425,946,1,-1
45,414,1471,423,986,1,-1
46,416,1471,420,1035,1,-1
47,414,1470,417,1147,0,-1
48,412,1472,415,1218,0,-1
49,411,1476,415,1281,0,-1
50,409,1476,411,1301,0,-1
51,410,1477,412,1284,0,-1
52,411,1480,414,1243,0,-1
53,407,1480,409,1187,0,-1
54,410,1482,406,1139,0,-1
55,406,1484,413,1109,0,-1
56,407,1485,418,1032,1,-1
57,406,1481,416,1030,1,-1
58,407,1479,412,1046,1,-1
59,404,1481,417,1128,0,-1
60,410,1480,413,1162,0,-1
61,409,1483,410,1208,0,-1
62,407,1484,408,1249,0,-1
63,405,1485,411,1276,0,-1
64,404,1487,411,1282,0,-1
65,409,1487,407,1269,0,-1
66,406,1487,408,1254,0,-1
67,406,1488,408,1208,0,-1
68,399,1490,406,1177,0,-1
69,402,1491,407,1164,0,-1
70,404,1491,409,1152,0,-1
71,400,1491,408,1153,0,-1
72,401,1488,405,1159,0,-1
73,403,1488,405,1182,0,-1
74,397,1486,405,1208,0,-1
75,401,1484,400,1242,0,-1
76,400,1480,403,1258,0,-1
77,400,1483,402,1270,0,-1
78,402,1475,404,1270,0,-1
79,404,1476,403,1262,0,-1
80,404,1473,408,1244,0,-1
81,410,1464,413,1226,0,-1
82,417,1460,420,1216,0,-1
83,422,1459,422,1212,0,-1
84,426,1459,430,1205,0,-1
85,428,1459,432,1194,0,-1
86,428,1456,434,1170,0,-1
87,428,1461,430,1140,0,-1
88,429,1465,436,1099,0,-1
89,433,1468,440,996,1,-1
90,442,1470,450,931,1,-1
91,446,1471,458,874,1,-1
92,449,1471,462,809,1,-1
93,448,1478,465,738,1,-1
94,446,1485,460,766,1,-1
95,444,1492,460,807,1,-1
96,439,1489,457,861,1,-1
97,407,1437,420,890,1,-1
98,480,1477,487,1033,1,-1
99,384,1487,389,1266,0,-1
100,407,1476,409,1353,0,-1
101,435,1503,431,1336,0,-1
102,450,1493,449,1250,0,-1
103,439,1500,448,1050,1,-1
104,422,1479,425,1038,1,-1
105,425,1500,437,974,1,-1
106,405,1493,417,944,1,-1
107,438,1459,453,899,1,-1
108,423,1495,441,908,1,-1
