,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,421,1475,431,1215,0,-1
1,420,1477,425,1214,0,-1
2,423,1477,428,1217,0,-1
3,424,1478,427,1216,0,-1
4,422,1478,431,1215,0,-1
5,423,1474,428,1215,0,-1
6,423,1479,428,1216,0,-1
7,426,1478,428,1217,0,-1
8,423,1476,428,1214,0,-1
9,424,1475,430,1213,0,-1
10,427,1475,430,1215,0,-1
11,424,1475,433,1214,0,-1
12,423,1481,431,1220,0,-1
13,426,1479,435,1219,0,-1
14,427,1480,435,1218,0,-1
15,431,1480,436,1225,0,-1
16,428,1482,435,1239,0,-1
17,429,1482,439,1260,0,-1
18,429,1476,435,1290,0,-1
19,426,1469,426,1300,0,-1
20,412,1458,418,1276,0,-1
21,483,1404,493,1178,0,-1
22,447,1436,457,1169,0,-1
23,440,1443,453,1140,0,-1
24,444,1437,459,1085,0,-1
25,444,1438,462,985,1,-1
26,446,1444,460,918,1,-1
27,449,1456,468,862,1,-1
28,445,1459,470,819,1,-1
29,450,1455,469,737,1,-1
30,442,1442,466,741,1,-1
31,439,1441,463,741,1,-1
32,443,1443,463,757,1,-1
33,445,1469,465,791,1,-1
34,449,1469,468,862,1,-1
35,445,1460,464,925,1,-1
36,449,1451,461,992,1,-1
37,445,1449,456,1182,0,-1
38,440,1456,450,1290,0,-1
39,438,1451,445,1322,0,-1
40,442,1454,446,1233,0,-1
41,442,1456,450,1141,0,-1
42,441,1450,451,1082,0,-1
43,447,1441,457,948,1,-1
44,445,1440,461,909,1,-1
45,449,1441,466,900,1,-1
46,448,1441,466,899,1,-1
47,448,1438,466,911,1,-1
48,452,1445,467,941,1,-1
49,453,1442,464,982,1,-1
50,446,1441,461,1088,0,-1
51,450,1446,460,1142,0,-1
52,448,1446,454,1202,0,-1
53,447,1445,455,1232,0,-1
54,447,1446,449,1257,0,-1
55,449,1448,450,1242,0,-1
56,447,1450,457,1217,0,-1
57,452,1452,457,1182,0,-1
58,452,1455,457,1155,0,-1
59,451,1460,454,1143,0,-1
60,448,1467,455,1145,0,-1
61,442,1470,453,1152,0,-1
62,441,1477,452,1170,0,-1
63,440,1480,446,1204,0,-1
64,438,1485,439,1248,0,-1
65,436,1482,439,1291,0,-1
66,432,1481,435,1319,0,-1
67,420,1474,425,1302,0,-1
68,408,1466,413,1248,0,-1
69,464,1412,469,1156,0,-1
70,442,1436,451,1140,0,-1
71,448,1443,459,1111,0,-1
72,448,1439,461,992,1,-1
73,452,1434,464,988,1,-1
74,449,1431,464,886,1,-1
75,450,1411,474,800,1,-1
76,447,1441,476,693,1,-1
77,446,1435,474,693,1,-1
78,448,1438,479,687,1,-1
79,444,1439,473,685,1,-1
80,440,1437,479,684,1,-1
81,445,1435,471,682,1,-1
82,451,1443,481,684,1,-1
83,447,1440,475,717,1,-1
84,445,1435,474,771,1,-1
85,-1,-1,-1,-1,1,-1
86,395,1400,411,948,1,-1
87,405,1467,414,1140,0,-1
88,429,1451,438,1195,0,-1
89,440,1477,451,1258,0,-1
90,445,1467,453,1226,0,-1
91,459,1456,472,1249,0,-1
92,446,1462,454,1241,0,-1
93,483,1482,494,1242,0,-1
94,468,1483,482,1243,0,-1
95,465,1477,475,1205,0,-1
96,413,1422,419,1149,0,-1
97,458,1475,461,1185,0,-1
98,457,1484,470,1190,0,-1
99,460,1477,465,1189,0,-1
100,458,1475,469,1200,0,-1
101,457,1479,471,1207,0,-1
102,459,1478,465,1216,0,-1
103,459,1481,464,1223,0,-1
104,459,1478,462,1222,0,-1
105,459,1477,465,1225,0,-1
106,462,1476,470,1223,0,-1
107,460,1477,464,1221,0,-1
108,461,1479,468,1219,0,-1
109,461,1477,463,1221,0,-1
110,459,1476,470,1218,0,-1
111,460,1476,464,1218,0,-1
112,460,1476,462,1222,0,-1
113,461,1473,468,1221,0,-1
114,463,1477,466,1221,0,-1
115,460,1476,466,1220,0,-1
116,458,1476,464,1221,0,-1
117,460,1474,467,1220,0,-1
118,461,1476,462,1221,0,-1
119,458,1477,462,1222,0,-1
120,453,1476,464,1220,0,-1
121,458,1475,465,1221,0,-1
