,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,442,1472,449,1208,0,-1
1,439,1476,448,1216,0,-1
2,438,1481,442,1219,0,-1
3,433,1487,437,1223,0,-1
4,433,1488,442,1233,0,-1
5,437,1490,447,1240,0,-1
6,446,1493,446,1267,0,-1
7,445,1494,446,1299,0,-1
8,438,1482,439,1308,0,-1
9,426,1467,425,1284,0,-1
10,415,1459,416,1243,0,-1
11,419,1446,421,1192,0,-1
12,423,1443,429,1150,0,-1
13,424,1448,426,1103,0,-1
14,418,1447,429,1074,0,-1
15,421,1444,436,935,1,-1
16,415,1444,436,881,1,-1
17,416,1449,432,823,1,-1
18,413,1460,435,758,1,-1
19,415,1467,436,710,1,-1
20,419,1470,435,709,1,-1
21,417,1472,434,719,1,-1
22,415,1466,431,744,1,-1
23,414,1450,434,794,1,-1
24,419,1457,439,871,1,-1
25,417,1458,431,987,1,-1
26,429,1466,433,1173,0,-1
27,415,1474,420,1251,0,-1
28,415,1482,417,1327,0,-1
29,418,1485,421,1320,0,-1
30,417,1489,426,1252,0,-1
31,453,1468,460,1141,0,-1
32,427,1483,436,1114,0,-1
33,434,1491,446,989,1,-1
34,436,1484,449,972,1,-1
35,438,1485,450,957,1,-1
36,439,1487,452,960,1,-1
37,438,1485,451,979,1,-1
38,436,1486,451,1008,1,-1
39,436,1489,440,1125,0,-1
40,434,1485,436,1177,0,-1
41,438,1489,435,1221,0,-1
42,435,1488,435,1269,0,-1
43,431,1487,436,1296,0,-1
44,431,1483,434,1290,0,-1
45,436,1487,438,1255,0,-1
46,434,1487,439,1221,0,-1
47,430,1488,437,1175,0,-1
48,432,1486,440,1143,0,-1
49,434,1488,438,1127,0,-1
50,429,1483,441,1116,0,-1
51,428,1484,435,1131,0,-1
52,422,1485,433,1144,0,-1
53,422,1481,427,1176,0,-1
54,424,1473,432,1218,0,-1
55,422,1473,423,1268,0,-1
56,422,1462,426,1305,0,-1
57,412,1456,414,1290,0,-1
58,412,1463,416,1256,0,-1
59,409,1458,415,1221,0,-1
60,441,1453,441,1164,0,-1
61,444,1446,454,1116,0,-1
62,443,1438,454,1090,0,-1
63,446,1442,457,963,1,-1
64,445,1455,459,918,1,-1
65,444,1440,465,851,1,-1
66,441,1456,463,743,1,-1
67,441,1461,465,696,1,-1
68,438,1468,456,685,1,-1
69,441,1454,466,685,1,-1
70,448,1460,469,683,1,-1
71,448,1458,473,687,1,-1
72,442,1456,471,703,1,-1
73,450,1461,466,747,1,-1
74,447,1452,464,828,1,-1
75,452,1447,464,933,1,-1
76,-1,-1,-1,-1,1,-1
77,446,1464,470,1294,0,-1
78,421,1466,423,1359,0,-1
79,465,1439,467,1202,0,-1
80,446,1476,465,971,1,-1
81,443,1441,461,860,1,-1
82,449,1412,462,740,1,-1
83,416,1426,437,647,1,-1
84,456,1441,468,681,1,-1
85,462,1467,480,724,1,-1
86,452,1462,471,768,1,-1
87,449,1486,468,831,1,-1
88,449,1474,462,894,1,-1
89,452,1480,464,991,1,-1
90,445,1482,455,1149,0,-1
91,446,1481,454,1229,0,-1
92,447,1474,450,1299,0,-1
93,447,1478,447,1317,0,-1
94,446,1471,446,1264,0,-1
95,441,1477,451,1201,0,-1
96,446,1477,456,1149,0,-1
97,443,1477,450,1112,0,-1
98,443,1476,448,1017,1,-1
99,441,1471,451,1016,1,-1
100,439,1478,450,1022,1,-1
101,435,1475,443,1114,0,-1
102,435,1474,443,1137,0,-1
103,436,1475,440,1170,0,-1
104,436,1472,443,1201,0,-1
105,433,1471,441,1230,0,-1
106,434,1472,440,1247,0,-1
107,434,1468,436,1247,0,-1
108,429,1468,438,1234,0,-1
109,428,1470,434,1230,0,-1
110,428,1468,431,1197,0,-1
111,424,1466,435,1184,0,-1
112,416,1468,428,1172,0,-1
113,422,1465,423,1164,0,-1
114,415,1465,426,1169,0,-1
115,416,1463,427,1173,0,-1
116,414,1463,419,1177,0,-1
117,418,1459,421,1189,0,-1
118,413,1460,430,1195,0,-1
119,418,1462,422,1205,0,-1
120,416,1460,422,1202,0,-1
121,411,1458,418,1206,0,-1
122,413,1462,418,1200,0,-1
123,419,1461,419,1203,0,-1
124,415,1459,420,1203,0,-1
125,414,1461,418,1204,0,-1
126,413,1466,417,1204,0,-1
127,416,1461,420,1203,0,-1
128,414,1461,417,1202,0,-1
129,418,1459,423,1205,0,-1
130,419,1460,417,1202,0,-1
131,418,1455,419,1202,0,-1
132,418,1453,423,1201,0,-1
133,420,1457,423,1195,0,-1
134,414,1455,421,1200,0,-1
135,413,1455,419,1198,0,-1
136,420,1459,422,1200,0,-1
