,time(ms),x_G,y_G,z_G
0,0.0,0.03125,-0.0703125,1.0
1,0.625,0.0390625,-0.0625,1.0234375
2,1.25,0.03125,-0.0625,1.0078125
3,1.875,0.0234375,-0.0546875,0.984375
4,2.5,0.0234375,-0.0625,0.984375
5,3.125,0.0234375,-0.0390625,1.03125
6,3.75,0.015625,-0.0703125,1.0078125
7,4.375,0.015625,-0.03125,1.015625
8,5.0,0.0234375,-0.0703125,1.0
9,5.625,0.0234375,-0.0703125,1.0078125
10,6.25,0.0234375,-0.0703125,1.0078125
11,6.875,0.03125,-0.0625,1.03125
12,7.5,0.015625,-0.078125,1.0
13,8.125,0.0234375,-0.0703125,1.0078125
14,8.75,0.0234375,-0.0625,1.0078125
15,9.375,0.0234375,-0.0625,1.015625
16,10.0,0.0234375,-0.0703125,1.0234375
17,10.625,0.015625,-0.0703125,1.0078125
18,11.25,0.015625,-0.078125,1.03125
19,11.875,0.03125,-0.0703125,1.0
20,12.5,0.03125,-0.09375,1.0
21,13.125,0.0390625,-0.0703125,0.984375
22,13.75,0.015625,-0.078125,1.0
23,14.375,0.015625,-0.0703125,1.0
24,15.0,0.015625,-0.0625,1.0
25,15.625,0.0078125,-0.0625,1.0
26,16.25,0.046875,-0.078125,0.9921875
27,16.875,0.03125,-0.0859375,1.0234375
28,17.5,0.0234375,-0.078125,0.96875
29,18.125,0.0234375,-0.0546875,1.0
30,18.75,0.0234375,-0.0703125,0.9765625
31,19.375,0.0234375,-0.0546875,0.9921875
32,20.0,0.015625,-0.0703125,0.984375
33,20.625,0.0234375,-0.0859375,0.9609375
34,21.25,0.0234375,-0.078125,1.015625
35,21.875,0.0390625,-0.0859375,0.9765625
36,22.5,0.0234375,-0.078125,0.9609375
37,23.125,0.015625,-0.0703125,1.0
38,23.75,0.03125,-0.078125,0.96875
39,24.375,0.03125,-0.0703125,1.0
40,25.0,0.0,-0.0625,1.0
41,25.625,0.0078125,-0.078125,1.0
42,26.25,0.0078125,-0.046875,1.0
43,26.875,0.015625,-0.0625,1.0
44,27.5,0.0234375,-0.0625,1.0
45,28.125,0.0078125,-0.0703125,1.0
46,28.75,0.046875,-0.0625,1.015625
47,29.375,0.0,-0.046875,1.0
48,30.0,0.0078125,-0.078125,1.0
49,30.625,0.015625,-0.0625,1.0234375
50,31.25,0.0234375,-0.0859375,1.015625
51,31.875,0.0234375,-0.046875,1.0
52,32.5,0.0234375,-0.0703125,0.9921875
53,33.125,0.0390625,-0.0546875,1.0
54,33.75,0.0078125,-0.046875,1.0
55,34.375,0.0234375,-0.0859375,0.9765625
56,35.0,0.03125,-0.0625,1.0234375
57,35.625,0.0234375,-0.0703125,0.953125
58,36.25,0.03125,-0.0546875,0.9921875
59,36.875,0.015625,-0.078125,0.9921875
60,37.5,0.046875,-0.0625,0.9921875
61,38.125,0.0234375,-0.0546875,0.9921875
62,38.75,0.03125,-0.09375,0.9921875
63,39.375,0.015625,-0.0625,1.03125
64,40.0,0.0390625,-0.0703125,0.9453125
65,40.625,0.0390625,-0.046875,0.9765625
66,41.25,0.0234375,-0.0546875,1.0
67,41.875,0.0390625,-0.0625,0.953125
68,42.5,0.0,-0.0390625,1.0
69,43.125,0.015625,-0.1015625,0.96875
70,43.75,0.03125,-0.0625,1.0234375
71,44.375,0.03125,-0.0703125,0.96875
72,45.0,0.03125,-0.046875,0.9921875
73,45.625,0.0234375,-0.0625,0.9921875
74,46.25,0.046875,-0.0703125,0.9921875
75,46.875,0.0,-0.03125,0.9921875
76,47.5,0.03125,-0.09375,1.0078125
77,48.125,0.03125,-0.0625,1.03125
78,48.75,0.0234375,-0.0625,0.953125
79,49.375,0.0234375,-0.078125,1.0
80,50.0,0.046875,-0.078125,1.0078125
81,50.625,0.03125,-0.09375,0.9921875
82,51.25,0.03125,-0.0390625,1.0
83,51.875,0.015625,-0.0859375,0.984375
84,52.5,0.015625,-0.0625,1.0390625
85,53.125,0.03125,-0.0703125,0.9296875
86,53.75,0.0234375,-0.0703125,1.0078125
87,54.375,0.0234375,-0.0703125,1.0078125
88,55.0,0.0234375,-0.0625,1.015625
89,55.625,0.0859375,-0.1015625,0.984375
90,56.25,0.0,-0.0625,0.96875
91,56.875,0.0234375,-0.09375,1.0390625
92,57.5,0.0,-0.078125,0.921875
93,58.125,0.0078125,-0.0703125,0.984375
94,58.75,0.03125,-0.078125,0.9765625
95,59.375,0.0390625,-0.0625,1.0
96,60.0,0.09375,-0.078125,1.0
97,60.625,0.0078125,0.0,0.984375
98,61.25,0.03125,-0.0703125,1.0
99,61.875,0.0390625,-0.0703125,0.984375
100,62.5,0.0234375,-0.078125,0.984375
101,63.125,0.0234375,-0.078125,1.0
102,63.75,0.046875,-0.0546875,1.0
103,64.375,0.015625,-0.0625,0.984375
104,65.0,0.015625,-0.078125,0.984375
105,65.625,0.015625,-0.0703125,1.0
106,66.25,0.0,-0.046875,0.9765625
107,66.875,0.0390625,-0.078125,0.96875
108,67.5,0.03125,-0.078125,0.9765625
109,68.125,0.0234375,-0.0859375,0.96875
110,68.75,0.015625,-0.0546875,1.0
111,69.375,0.03125,-0.0703125,1.0
112,70.0,0.03125,-0.0703125,0.9921875
113,70.625,0.0234375,-0.0859375,0.984375
114,71.25,0.03125,-0.0703125,0.9921875
115,71.875,0.0234375,-0.0625,1.0078125
116,72.5,0.0078125,-0.0625,1.0
117,73.125,0.015625,-0.0625,0.9765625
118,73.75,0.0234375,-0.0625,1.0
119,74.375,0.0078125,-0.0546875,0.984375
120,75.0,0.015625,-0.0703125,1.0
121,75.625,0.0546875,-0.0859375,1.0
122,76.25,0.0234375,-0.0546875,0.9765625
123,76.875,0.0234375,-0.078125,1.0
124,77.5,0.0234375,-0.0703125,1.0
125,78.125,0.015625,-0.0703125,0.9921875
126,78.75,0.03125,-0.0859375,1.0
127,79.375,0.0234375,-0.078125,1.0
128,80.0,0.03125,-0.0703125,1.0
129,80.625,0.0234375,-0.046875,1.0
130,81.25,0.03125,-0.0703125,0.9765625
131,81.875,0.015625,-0.0703125,0.9921875
132,82.5,0.015625,-0.0625,0.9921875
133,83.125,0.0234375,-0.0625,1.0
134,83.75,0.0234375,-0.0859375,0.984375
135,84.375,0.015625,-0.078125,1.0
136,85.0,0.015625,-0.0625,0.9765625
137,85.625,0.0234375,-0.0625,0.984375
138,86.25,0.0078125,-0.0546875,1.0
139,86.875,0.0234375,-0.0625,0.9921875
140,87.5,0.0234375,-0.0625,0.9765625
141,88.125,0.015625,-0.0625,1.0
142,88.75,0.0078125,-0.0390625,1.0078125
143,89.375,0.015625,-0.0546875,1.0
144,90.0,0.015625,-0.046875,0.9921875
145,90.625,0.03125,-0.0625,1.0
146,91.25,0.0390625,-0.0703125,0.96875
147,91.875,0.0,-0.0546875,0.984375
148,92.5,0.03125,-0.078125,0.984375
149,93.125,0.0078125,-0.0703125,0.9921875
150,93.75,0.015625,-0.0546875,0.984375
151,94.375,0.0234375,-0.078125,0.9921875
152,95.0,0.015625,-0.0859375,0.9765625
153,95.625,0.0,-0.0546875,1.0
154,96.25,0.015625,-0.0546875,0.9921875
155,96.875,0.0390625,-0.0625,1.0
156,97.5,0.015625,-0.0703125,1.0
157,98.125,0.03125,-0.0625,1.0
158,98.75,0.03125,-0.078125,1.0
159,99.375,0.03125,-0.0703125,1.0
160,100.0,0.0234375,-0.0625,1.0
161,100.625,0.0234375,-0.09375,1.0
162,101.25,0.03125,-0.078125,1.0
163,101.875,0.015625,-0.0625,1.0
164,102.5,0.0234375,-0.0703125,1.0
165,103.125,0.015625,-0.0703125,1.0234375
166,103.75,0.0,-0.0390625,1.0234375
167,104.375,0.0234375,-0.0703125,1.015625
168,105.0,0.015625,-0.0546875,1.015625
169,105.625,0.015625,-0.078125,0.9921875
170,106.25,0.0078125,-0.0703125,1.0
171,106.875,0.015625,-0.0703125,1.015625
172,107.5,0.0234375,-0.046875,1.0078125
173,108.125,0.0390625,-0.0703125,0.9921875
174,108.75,0.03125,-0.0546875,1.0
175,109.375,0.0234375,-0.0703125,1.03125
176,110.0,0.0234375,-0.0546875,1.0078125
177,110.625,0.0078125,-0.0546875,1.0078125
178,111.25,0.03125,-0.0625,1.015625
179,111.875,0.015625,-0.0546875,1.015625
180,112.5,0.03125,-0.0625,1.0
181,113.125,0.0234375,-0.0546875,1.0078125
182,113.75,0.0,-0.0546875,0.984375
183,114.375,0.0078125,-0.0625,1.0
184,115.0,0.015625,-0.0703125,0.9921875
185,115.625,0.0234375,-0.0546875,1.0078125
186,116.25,0.015625,-0.0625,1.0
187,116.875,0.03125,-0.0546875,1.0
188,117.5,0.015625,-0.0625,1.0
189,118.125,0.0234375,-0.0625,1.0
190,118.75,0.0078125,-0.0546875,0.96875
191,119.375,0.0234375,-0.0546875,1.0
192,120.0,0.03125,-0.0546875,1.015625
193,120.625,0.0234375,-0.0625,1.0
194,121.25,0.0390625,-0.0625,1.0234375
195,121.875,0.0390625,-0.046875,1.0078125
196,122.5,0.0234375,-0.0625,1.0
197,123.125,0.0234375,-0.046875,1.0234375
198,123.75,0.015625,-0.0859375,1.015625
199,124.375,0.03125,-0.0546875,1.0234375
200,125.0,0.03125,-0.0703125,1.03125
201,125.625,0.015625,-0.078125,1.0234375
202,126.25,0.015625,-0.0703125,1.03125
203,126.875,0.03125,-0.078125,1.015625
204,127.5,0.03125,-0.0703125,1.0234375
205,128.125,0.03125,-0.0859375,1.0390625
206,128.75,0.0078125,-0.046875,1.03125
207,129.375,0.015625,-0.0703125,1.0390625
208,130.0,0.0234375,-0.046875,1.0234375
209,130.625,0.0234375,-0.0703125,1.03125
210,131.25,0.0234375,-0.0390625,1.0
211,131.875,0.0078125,-0.046875,1.0234375
212,132.5,0.0,-0.0390625,1.03125
213,133.125,0.0234375,-0.0625,1.015625
214,133.75,0.015625,-0.0703125,1.0234375
215,134.375,0.0234375,-0.046875,1.03125
216,135.0,0.0,-0.046875,1.0
217,135.625,0.0234375,-0.0625,1.0
218,136.25,0.03125,-0.0625,1.0234375
219,136.875,0.0390625,-0.0703125,1.0234375
220,137.5,0.03125,-0.0546875,1.0078125
221,138.125,0.015625,-0.0625,1.0078125
222,138.75,0.0234375,-0.0703125,1.0
223,139.375,0.015625,-0.046875,1.0
224,140.0,0.03125,-0.0625,1.0
225,140.625,0.0078125,-0.046875,1.0
226,141.25,0.0078125,-0.0625,1.0078125
227,141.875,0.0234375,-0.0625,1.015625
228,142.5,0.0234375,-0.0625,1.0
229,143.125,0.0078125,-0.0625,1.0078125
230,143.75,0.0078125,-0.0546875,1.0078125
231,144.375,0.0234375,-0.0625,1.0
232,145.0,0.015625,-0.0390625,1.0
233,145.625,0.015625,-0.046875,1.0078125
234,146.25,0.0234375,-0.078125,1.03125
235,146.875,0.015625,-0.0625,1.015625
236,147.5,0.0,-0.0625,0.9921875
237,148.125,0.0390625,-0.0703125,1.0078125
238,148.75,0.0078125,-0.0625,1.0
239,149.375,0.0390625,-0.0625,1.0078125
240,150.0,0.0078125,-0.0625,1.0078125
241,150.625,0.015625,-0.0625,1.0
242,151.25,0.0234375,-0.0625,1.03125
243,151.875,0.015625,-0.0546875,1.0
244,152.5,0.0234375,-0.0546875,1.0078125
245,153.125,0.015625,-0.0625,1.0
246,153.75,0.0234375,-0.0390625,1.0
247,154.375,0.015625,-0.0546875,1.0
248,155.0,0.015625,-0.0390625,1.015625
249,155.625,0.0234375,-0.0625,1.0
250,156.25,0.015625,-0.0703125,1.0
251,156.875,0.0078125,-0.0625,1.0
252,157.5,0.0234375,-0.0625,1.0
253,158.125,0.015625,-0.046875,1.0
254,158.75,0.03125,-0.0703125,1.0
255,159.375,0.015625,-0.046875,1.0078125
256,160.0,0.0234375,-0.0625,1.0078125
257,160.625,0.0234375,-0.0625,1.0
258,161.25,0.0,-0.0703125,1.0078125
259,161.875,0.0,-0.046875,1.0
260,162.5,0.0078125,-0.0546875,0.9921875
261,163.125,0.0234375,-0.0703125,1.0078125
262,163.75,0.0234375,-0.0546875,0.9921875
263,164.375,0.0234375,-0.0703125,1.0
264,165.0,0.0078125,-0.0546875,1.0
265,165.625,0.0234375,-0.0625,0.9921875
266,166.25,0.015625,-0.078125,0.9921875
267,166.875,0.0078125,-0.0625,0.984375
268,167.5,0.046875,-0.0859375,0.9921875
269,168.125,0.0078125,-0.046875,0.96875
270,168.75,0.0234375,-0.0703125,1.0
271,169.375,0.015625,-0.0703125,1.0
272,170.0,0.03125,-0.0625,0.9765625
273,170.625,0.0234375,-0.0625,0.96875
274,171.25,0.0390625,-0.078125,1.0
275,171.875,0.0390625,-0.0703125,0.9921875
276,172.5,0.0,-0.046875,0.984375
277,173.125,0.03125,-0.078125,0.9765625
278,173.75,0.015625,-0.0703125,1.0078125
279,174.375,0.0546875,-0.0625,0.9609375
280,175.0,0.0234375,-0.0625,0.9765625
281,175.625,0.03125,-0.0625,0.9609375
282,176.25,0.046875,-0.0703125,1.0
283,176.875,0.0,-0.046875,0.9921875
284,177.5,0.015625,-0.0625,1.0
285,178.125,0.0078125,-0.0625,1.0
286,178.75,0.0078125,-0.046875,0.96875
287,179.375,0.0234375,-0.0703125,1.0
288,180.0,0.0234375,-0.0703125,0.9921875
289,180.625,0.046875,-0.0703125,1.0
290,181.25,0.03125,-0.0625,0.9921875
291,181.875,0.0234375,-0.0703125,1.0
292,182.5,0.0234375,-0.0703125,1.03125
293,183.125,0.03125,-0.078125,0.9765625
294,183.75,0.03125,-0.0625,0.9921875
295,184.375,0.03125,-0.0703125,1.0
296,185.0,0.0234375,-0.0703125,1.0
297,185.625,0.046875,-0.078125,1.0
298,186.25,0.0,-0.03125,1.0078125
299,186.875,0.015625,-0.0625,1.0
300,187.5,0.015625,-0.0546875,1.0
301,188.125,0.015625,-0.0625,0.9921875
302,188.75,0.046875,-0.0859375,1.0
303,189.375,0.015625,-0.078125,0.9921875
304,190.0,0.0625,-0.0859375,0.9921875
305,190.625,0.0,-0.046875,1.0
306,191.25,0.0234375,-0.109375,0.984375
307,191.875,0.0234375,-0.0859375,1.03125
308,192.5,0.03125,-0.0546875,0.96875
309,193.125,0.0234375,-0.0546875,0.9765625
310,193.75,0.0234375,-0.0546875,0.9921875
311,194.375,0.0234375,-0.0703125,0.9921875
312,195.0,0.0859375,-0.0703125,1.0
313,195.625,0.0078125,-0.09375,0.9609375
314,196.25,0.03125,-0.0703125,1.0390625
315,196.875,0.0078125,-0.0625,0.9453125
316,197.5,0.0078125,-0.0703125,0.9765625
317,198.125,0.0390625,-0.0703125,1.015625
318,198.75,0.015625,-0.0390625,1.0
319,199.375,0.09375,-0.0703125,0.984375
320,200.0,-0.0234375,0.0,0.96875
321,200.625,0.03125,-0.140625,0.9609375
322,201.25,0.0234375,-0.078125,1.0625
323,201.875,0.0234375,-0.0546875,0.9140625
324,202.5,0.046875,-0.0859375,0.984375
325,203.125,0.0,-0.0703125,1.0
326,203.75,0.0859375,-0.0703125,1.0
327,204.375,0.03125,-0.015625,1.0
328,205.0,0.0390625,-0.078125,0.953125
329,205.625,0.015625,-0.0546875,1.0859375
330,206.25,0.0390625,-0.0859375,1.0
331,206.875,0.0234375,-0.0546875,1.0078125
332,207.5,0.0390625,-0.0859375,1.0
333,208.125,0.0078125,-0.078125,0.984375
334,208.75,0.0078125,-0.0703125,1.0
335,209.375,0.015625,-0.0703125,1.0
336,210.0,0.0078125,-0.078125,1.0078125
337,210.625,0.0390625,-0.0703125,1.0
338,211.25,0.0234375,-0.046875,0.9921875
339,211.875,0.015625,-0.0546875,1.0
340,212.5,0.0234375,-0.0625,1.0
341,213.125,0.046875,-0.078125,1.0
342,213.75,0.0,-0.078125,1.0
343,214.375,0.03125,-0.078125,1.015625
344,215.0,0.0234375,-0.078125,0.96875
345,215.625,0.0078125,-0.046875,1.0390625
346,216.25,0.0234375,-0.078125,1.015625
347,216.875,0.015625,-0.078125,1.0234375
348,217.5,0.0390625,-0.078125,1.0
349,218.125,0.015625,-0.0546875,1.0
350,218.75,0.015625,-0.078125,0.9921875
351,219.375,0.0234375,-0.078125,1.0
352,220.0,0.0234375,-0.0703125,1.0
353,220.625,0.0234375,-0.0625,1.0078125
354,221.25,0.015625,-0.0625,1.0078125
355,221.875,0.0078125,-0.0390625,1.0
356,222.5,0.03125,-0.0703125,1.0
357,223.125,0.03125,-0.0625,1.0078125
358,223.75,0.046875,-0.0703125,1.0
359,224.375,0.0234375,-0.0625,1.03125
360,225.0,0.015625,-0.0546875,0.9921875
361,225.625,0.03125,-0.0625,0.9765625
362,226.25,0.03125,-0.0546875,1.0078125
363,226.875,0.0390625,-0.0625,1.0078125
364,227.5,0.0234375,-0.078125,1.0
365,228.125,0.015625,-0.0546875,1.0078125
366,228.75,0.03125,-0.078125,1.0
367,229.375,0.0234375,-0.0625,1.015625
368,230.0,0.0390625,-0.0703125,1.0
369,230.625,0.0234375,-0.0703125,1.0
370,231.25,0.0234375,-0.0625,1.0
371,231.875,0.0390625,-0.0703125,1.0
372,232.5,0.0234375,-0.046875,1.0078125
373,233.125,0.015625,-0.0625,1.0078125
374,233.75,0.015625,-0.0546875,1.0
375,234.375,0.0234375,-0.0703125,1.0
376,235.0,0.0078125,-0.0703125,1.015625
377,235.625,0.0390625,-0.0703125,1.0078125
378,236.25,0.0390625,-0.0546875,1.03125
379,236.875,0.0234375,-0.0625,1.0078125
380,237.5,0.0390625,-0.078125,1.0
381,238.125,0.0234375,-0.0703125,1.015625
382,238.75,0.015625,-0.0546875,1.015625
383,239.375,0.015625,-0.0625,1.03125
384,240.0,0.0390625,-0.078125,1.03125
385,240.625,0.0078125,-0.0625,1.0390625
386,241.25,0.03125,-0.0625,1.0078125
387,241.875,0.0078125,-0.078125,1.0234375
388,242.5,0.0078125,-0.0390625,1.03125
389,243.125,0.015625,-0.0625,1.0234375
390,243.75,0.015625,-0.0703125,1.046875
391,244.375,0.015625,-0.0546875,1.015625
392,245.0,0.015625,-0.078125,1.015625
393,245.625,0.03125,-0.0546875,1.03125
394,246.25,0.0234375,-0.0625,1.0390625
395,246.875,0.0078125,-0.0625,1.0078125
396,247.5,0.0234375,-0.0625,1.0078125
397,248.125,0.015625,-0.0546875,1.0078125
398,248.75,0.0234375,-0.046875,1.0234375
399,249.375,0.0,-0.0546875,1.0078125
400,250.0,0.03125,-0.0703125,1.0
