,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,445,1463,449,1197,0,0.14705882352941177
1,448,1465,453,1200,0,0.14705882352941177
2,450,1466,454,1200,0,0.14705882352941177
3,450,1463,455,1200,0,0.14705882352941177
4,449,1467,454,1201,0,0.14705882352941177
5,447,1469,451,1203,0,0.14705882352941177
6,447,1472,452,1209,0,0.14705882352941177
7,447,1478,449,1220,0,0.14705882352941177
8,446,1477,446,1238,0,0.14705882352941177
9,442,1478,446,1263,0,0.14705882352941177
10,444,1472,447,1277,0,0.14705882352941177
11,439,1462,439,1271,0,0.14705882352941177
12,436,1438,438,1240,0,0.14705882352941177
13,439,1441,441,1213,0,0.14705882352941177
14,443,1438,447,1182,0,0.14705882352941177
15,445,1440,447,1152,0,0.14705882352941177
16,441,1439,448,1114,0,0.14705882352941177
17,441,1437,449,1074,0,0.14705882352941177
18,442,1437,458,960,1,0.14705882352941177
19,440,1433,451,897,1,0.14705882352941177
20,440,1424,455,835,1,0.14705882352941177
21,439,1442,454,761,1,0.14705882352941177
22,439,1446,454,689,1,0.14705882352941177
23,435,1445,458,687,1,0.14705882352941177
24,440,1444,454,705,1,0.14705882352941177
25,442,1443,452,736,1,0.14705882352941177
26,441,1442,453,793,1,0.14705882352941177
27,442,1445,454,885,1,0.14705882352941177
28,441,1442,455,962,1,0.14705882352941177
29,439,1438,446,1147,0,0.14705882352941177
30,440,1442,445,1259,0,0.14705882352941177
31,440,1446,443,1316,0,0.14705882352941177
32,442,1445,448,1242,0,0.14705882352941177
33,441,1444,442,1144,0,0.14705882352941177
34,442,1444,448,1072,0,0.14705882352941177
35,443,1437,452,941,1,0.14705882352941177
36,442,1439,451,908,1,0.14705882352941177
37,440,1439,453,897,1,0.14705882352941177
38,439,1437,450,906,1,0.14705882352941177
39,440,1439,452,923,1,0.14705882352941177
40,438,1441,447,947,1,0.14705882352941177
41,436,1441,446,1070,0,0.14705882352941177
42,436,1441,441,1109,0,0.14705882352941177
43,434,1439,437,1150,0,0.14705882352941177
44,434,1440,436,1203,0,0.14705882352941177
45,431,1439,434,1241,0,0.14705882352941177
46,431,1442,435,1254,0,0.14705882352941177
47,432,1441,434,1227,0,0.14705882352941177
48,433,1444,435,1186,0,0.14705882352941177
49,435,1442,440,1146,0,0.14705882352941177
50,436,1441,439,1113,0,0.14705882352941177
51,434,1444,438,1093,0,0.14705882352941177
52,434,1443,440,1078,0,0.14705882352941177
53,433,1443,441,1079,0,0.14705882352941177
54,432,1445,438,1092,0,0.14705882352941177
55,433,1446,440,1110,0,0.14705882352941177
56,432,1449,434,1141,0,0.14705882352941177
57,429,1450,432,1175,0,0.14705882352941177
58,429,1453,431,1208,0,0.14705882352941177
59,426,1459,427,1241,0,0.14705882352941177
60,428,1463,430,1253,0,0.14705882352941177
61,425,1465,426,1246,0,0.14705882352941177
62,423,1470,430,1237,0,0.14705882352941177
63,425,1470,433,1223,0,0.14705882352941177
64,424,1469,431,1219,0,0.14705882352941177
65,422,1468,425,1224,0,0.14705882352941177
66,422,1460,423,1230,0,0.14705882352941177
67,423,1446,427,1236,0,0.14705882352941177
68,434,1443,435,1243,0,0.14705882352941177
69,436,1440,442,1232,0,0.14705882352941177
70,444,1440,450,1205,0,0.14705882352941177
71,445,1439,449,1161,0,0.14705882352941177
72,443,1437,452,1110,0,0.14705882352941177
73,447,1435,451,1062,0,0.14705882352941177
74,444,1434,453,910,1,0.14705882352941177
75,439,1436,456,852,1,0.14705882352941177
76,442,1441,462,763,1,0.14705882352941177
77,438,1440,458,686,1,0.14705882352941177
78,442,1440,463,688,1,0.14705882352941177
79,444,1450,463,690,1,0.14705882352941177
80,440,1446,459,701,1,0.14705882352941177
81,441,1444,461,736,1,0.14705882352941177
82,445,1442,458,791,1,0.14705882352941177
83,441,1447,455,895,1,0.14705882352941177
84,442,1442,452,961,1,0.14705882352941177
85,440,1429,445,1149,0,0.14705882352941177
86,437,1437,439,1244,0,0.14705882352941177
87,433,1438,434,1308,0,0.14705882352941177
88,432,1442,433,1260,0,0.14705882352941177
89,506,1467,502,1216,0,0.14705882352941177
90,-1,-1,-1,-1,0,0.14705882352941177
91,463,1437,470,1135,0,0.14705882352941177
92,422,1450,429,1133,0,0.14705882352941177
93,425,1445,434,1129,0,0.14705882352941177
94,428,1451,434,1135,0,0.14705882352941177
95,428,1453,435,1143,0,0.14705882352941177
96,426,1445,435,1161,0,0.14705882352941177
97,426,1446,430,1177,0,0.14705882352941177
98,428,1445,431,1192,0,0.14705882352941177
99,432,1448,437,1209,0,0.14705882352941177
100,431,1446,435,1213,0,0.14705882352941177
101,437,1450,438,1210,0,0.14705882352941177
102,436,1446,439,1195,0,0.14705882352941177
103,440,1446,441,1183,0,0.14705882352941177
104,438,1444,442,1174,0,0.14705882352941177
105,438,1445,443,1165,0,0.14705882352941177
106,438,1447,442,1157,0,0.14705882352941177
107,439,1445,443,1155,0,0.14705882352941177
108,439,1446,443,1157,0,0.14705882352941177
109,438,1442,441,1163,0,0.14705882352941177
110,438,1443,443,1172,0,0.14705882352941177
111,439,1440,439,1177,0,0.14705882352941177
112,439,1446,442,1185,0,0.14705882352941177
113,442,1444,444,1187,0,0.14705882352941177
114,439,1442,444,1188,0,0.14705882352941177
115,438,1443,445,1185,0,0.14705882352941177
116,439,1443,444,1185,0,0.14705882352941177
117,439,1445,439,1181,0,0.14705882352941177
118,440,1441,441,1179,0,0.14705882352941177
119,439,1444,443,1179,0,0.14705882352941177
120,440,1441,440,1178,0,0.14705882352941177
121,438,1445,448,1179,0,0.14705882352941177
122,436,1442,445,1176,0,0.14705882352941177
123,439,1443,444,1180,0,0.14705882352941177
124,439,1441,444,1179,0,0.14705882352941177
125,436,1444,442,1179,0,0.14705882352941177
126,438,1443,445,1179,0,0.14705882352941177
127,438,1442,440,1180,0,0.14705882352941177
128,438,1444,440,1179,0,0.14705882352941177
129,439,1443,441,1180,0,0.14705882352941177
130,436,1446,443,1182,0,0.14705882352941177
131,438,1444,441,1180,0,0.14705882352941177
132,440,1446,441,1178,0,0.14705882352941177
133,439,1445,443,1180,0,0.14705882352941177
134,435,1444,440,1180,0,0.14705882352941177
135,434,1444,441,1180,0,0.14705882352941177
136,433,1445,440,1179,0,0.14705882352941177
