,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,457,1457,468,1130,1,-1
1,457,1454,465,1125,1,-1
2,457,1458,462,1124,1,-1
3,460,1459,467,1122,1,-1
4,458,1460,463,1125,1,-1
5,461,1461,467,1128,1,-1
6,457,1460,466,1131,1,-1
7,462,1464,465,1130,1,-1
8,461,1461,467,1126,1,-1
9,456,1455,464,1124,1,-1
10,457,1456,463,1128,1,-1
11,454,1459,461,1126,1,-1
12,455,1459,455,1128,1,-1
13,450,1456,457,1127,1,-1
14,446,1455,449,1124,1,-1
15,440,1453,448,1126,1,-1
16,437,1453,440,1129,1,-1
17,429,1460,436,1141,1,-1
18,429,1475,431,1165,1,-1
19,431,1481,433,1198,1,-1
20,430,1481,432,1209,1,-1
21,423,1477,427,1219,1,-1
22,449,1430,450,1157,1,-1
23,445,1441,446,1146,1,-1
24,449,1444,452,1098,1,-1
25,437,1446,449,1065,1,-1
26,436,1445,438,1081,0,-1
27,431,1444,441,968,1,-1
28,430,1443,432,910,1,-1
29,425,1438,433,831,1,-1
30,424,1446,438,768,1,-1
31,419,1438,433,692,1,-1
32,423,1437,439,691,1,-1
33,420,1447,435,715,1,-1
34,425,1440,441,749,1,-1
35,429,1443,440,816,1,-1
36,437,1457,445,913,1,-1
37,435,1460,444,1086,0,-1
38,430,1451,441,1161,0,-1
39,438,1465,441,1242,0,-1
40,441,1470,440,1304,0,-1
41,442,1468,445,1302,0,-1
42,443,1468,448,1242,0,-1
43,444,1465,443,1170,0,-1
44,438,1458,441,1113,0,-1
45,436,1449,445,1072,0,-1
46,437,1448,442,966,1,-1
47,436,1439,451,933,1,-1
48,433,1444,446,933,1,-1
49,431,1443,442,953,1,-1
50,432,1444,443,971,1,-1
51,432,1442,437,1083,0,-1
52,433,1444,439,1131,0,-1
53,433,1443,432,1187,0,-1
54,425,1445,428,1230,0,-1
55,428,1449,428,1261,0,-1
56,426,1446,431,1245,0,-1
57,429,1443,435,1214,0,-1
58,431,1443,434,1166,0,-1
59,428,1445,436,1131,0,-1
60,430,1445,435,1106,0,-1
61,431,1442,435,1091,0,-1
62,432,1444,433,1093,0,-1
63,428,1444,432,1102,0,-1
64,429,1447,434,1123,0,-1
65,426,1443,430,1137,0,-1
66,425,1447,432,1166,0,-1
67,427,1452,432,1196,0,-1
68,424,1456,430,1219,0,-1
69,429,1462,431,1230,0,-1
70,426,1460,435,1230,0,-1
71,431,1468,433,1226,0,-1
72,429,1473,432,1220,0,-1
73,428,1471,436,1222,0,-1
74,431,1481,437,1229,0,-1
75,427,1486,431,1244,0,-1
76,433,1491,434,1253,0,-1
77,430,1487,435,1274,0,-1
78,436,1489,428,1284,0,-1
79,426,1485,424,1290,0,-1
80,415,1476,418,1281,0,-1
81,425,1458,427,1235,0,-1
82,438,1444,439,1206,0,-1
83,436,1440,440,1161,0,-1
84,436,1444,442,1117,0,-1
85,430,1442,444,1064,0,-1
86,432,1441,448,951,1,-1
87,435,1439,444,868,1,-1
88,435,1436,450,785,1,-1
89,432,1433,451,695,1,-1
90,434,1432,453,692,1,-1
91,434,1445,442,684,1,-1
92,429,1439,441,687,1,-1
93,429,1430,451,691,1,-1
94,433,1434,452,690,1,-1
95,436,1446,449,687,1,-1
96,436,1444,447,690,1,-1
97,435,1445,446,729,1,-1
98,433,1438,448,810,1,-1
99,433,1434,448,912,1,-1
100,431,1435,437,1123,0,-1
101,429,1435,432,1224,0,-1
102,414,1384,413,1253,0,-1
103,430,1427,431,1299,0,-1
104,434,1458,439,1234,0,-1
105,426,1442,435,1138,0,-1
106,426,1447,436,1073,0,-1
107,427,1470,438,951,1,-1
108,424,1462,433,904,1,-1
109,426,1454,436,890,1,-1
110,426,1457,437,889,1,-1
111,430,1458,432,911,1,-1
112,431,1459,433,945,1,-1
113,436,1450,434,982,1,-1
114,425,1454,431,1108,0,-1
115,426,1462,432,1157,0,-1
116,429,1459,432,1195,0,-1
117,427,1458,436,1234,0,-1
118,428,1458,433,1257,0,-1
119,428,1459,431,1249,0,-1
120,433,1463,433,1231,0,-1
121,427,1458,430,1198,0,-1
122,431,1459,432,1170,0,-1
123,427,1466,436,1148,0,-1
124,429,1458,431,1134,0,-1
125,435,1459,435,1134,0,-1
126,426,1455,437,1133,0,-1
127,429,1460,434,1148,0,-1
128,433,1459,436,1162,0,-1
129,436,1458,438,1183,0,-1
130,434,1454,436,1212,0,-1
131,433,1456,438,1219,0,-1
132,435,1455,436,1226,0,-1
133,437,1456,442,1222,0,-1
134,437,1459,440,1209,0,-1
135,434,1453,441,1196,0,-1
136,442,1457,438,1183,0,-1
137,441,1450,447,1173,0,-1
138,439,1447,445,1171,0,-1
139,438,1443,442,1168,0,-1
140,438,1446,442,1170,0,-1
141,434,1443,436,1166,0,-1
142,437,1439,437,1167,0,-1
143,437,1443,436,1166,0,-1
144,427,1451,433,1176,0,-1
145,427,1444,433,1174,0,-1
146,420,1447,428,1179,0,-1
147,418,1452,424,1183,0,-1
148,416,1453,419,1187,0,-1
149,416,1454,420,1191,0,-1
150,414,1457,417,1194,0,-1
151,416,1460,418,1200,0,-1
