,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,419,1469,424,1199,0,-1
1,418,1468,425,1198,0,-1
2,418,1469,425,1201,0,-1
3,422,1470,426,1202,0,-1
4,420,1473,426,1202,0,-1
5,420,1473,426,1205,0,-1
6,421,1474,428,1205,0,-1
7,421,1474,427,1204,0,-1
8,422,1477,429,1207,0,-1
9,423,1481,428,1209,0,-1
10,422,1484,431,1214,0,-1
11,426,1484,430,1214,0,-1
12,427,1482,430,1213,0,-1
13,425,1484,430,1218,0,-1
14,427,1489,434,1220,0,-1
15,428,1493,433,1232,0,-1
16,427,1493,432,1254,0,-1
17,432,1489,431,1267,0,-1
18,426,1478,430,1278,0,-1
19,431,1469,435,1268,0,-1
20,428,1463,435,1252,0,-1
21,429,1457,434,1221,0,-1
22,429,1462,435,1186,0,-1
23,433,1464,439,1161,0,-1
24,434,1470,442,1133,0,-1
25,438,1470,445,1107,0,-1
26,437,1471,447,1017,1,-1
27,439,1466,447,983,1,-1
28,439,1465,448,941,1,-1
29,437,1467,451,901,1,-1
30,434,1465,444,864,1,-1
31,431,1463,445,826,1,-1
32,433,1461,445,807,1,-1
33,425,1455,441,801,1,-1
34,422,1460,434,824,1,-1
35,419,1468,429,864,1,-1
36,419,1474,424,943,1,-1
37,423,1482,426,1036,1,-1
38,425,1488,422,1188,0,-1
39,422,1492,422,1297,0,-1
40,422,1492,423,1357,0,-1
41,423,1500,427,1316,0,-1
42,419,1497,427,1226,0,-1
43,422,1501,427,1128,0,-1
44,422,1496,429,1011,1,-1
45,418,1495,431,936,1,-1
46,418,1494,430,895,1,-1
47,421,1496,436,867,1,-1
48,425,1499,431,860,1,-1
49,420,1499,434,870,1,-1
50,424,1501,432,906,1,-1
51,423,1504,434,947,1,-1
52,422,1504,431,1013,1,-1
53,424,1503,429,1066,1,-1
54,425,1504,427,1206,0,-1
55,420,1505,426,1311,0,-1
56,421,1504,425,1336,0,-1
57,422,1503,426,1324,0,-1
58,422,1493,430,1269,0,-1
59,423,1496,430,1203,0,-1
