,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,435,1451,437,1192,0,-0.15625
1,434,1451,440,1190,0,-0.15625
2,437,1452,439,1191,0,-0.15625
3,430,1451,435,1191,0,-0.15625
4,432,1452,434,1192,0,-0.15625
5,434,1452,434,1192,0,-0.15625
6,435,1453,440,1194,0,-0.15625
7,431,1456,437,1195,0,-0.15625
8,429,1456,434,1195,0,-0.15625
9,428,1456,431,1197,0,-0.15625
10,421,1463,423,1200,0,-0.15625
11,417,1469,416,1208,0,-0.15625
12,417,1470,422,1228,0,-0.15625
13,418,1466,423,1233,0,-0.15625
14,422,1466,424,1265,0,-0.15625
15,418,1452,422,1291,0,-0.15625
16,406,1453,411,1279,0,-0.15625
17,402,1454,402,1256,0,-0.15625
18,473,1394,479,1157,0,-0.15625
19,444,1429,450,1130,0,-0.15625
20,446,1437,453,1107,0,-0.15625
21,445,1433,454,1067,0,-0.15625
22,447,1438,455,979,1,-0.15625
23,447,1434,454,882,1,-0.15625
24,439,1434,451,826,1,-0.15625
25,435,1434,445,768,1,-0.15625
26,433,1435,444,711,1,-0.15625
27,432,1435,449,686,1,-0.15625
28,430,1437,449,689,1,-0.15625
29,432,1448,447,705,1,-0.15625
30,430,1450,446,742,1,-0.15625
31,433,1445,443,800,1,-0.15625
32,433,1447,441,864,1,-0.15625
33,430,1450,442,971,1,-0.15625
34,429,1512,436,1142,0,-0.15625
35,430,1452,433,1247,0,-0.15625
36,427,1452,432,1322,0,-0.15625
37,431,1455,431,1273,0,-0.15625
38,437,1456,439,1169,0,-0.15625
39,436,1456,438,1096,0,-0.15625
40,440,1456,449,961,1,-0.15625
41,446,1454,454,922,1,-0.15625
42,448,1454,458,906,1,-0.15625
43,447,1452,458,900,1,-0.15625
44,454,1456,463,908,1,-0.15625
45,452,1458,465,935,1,-0.15625
46,456,1457,465,970,1,-0.15625
47,453,1453,462,1006,1,-0.15625
48,456,1460,465,1133,0,-0.15625
49,458,1460,461,1182,0,-0.15625
50,456,1460,461,1234,0,-0.15625
51,456,1463,462,1277,0,-0.15625
52,458,1460,455,1272,0,-0.15625
53,458,1460,460,1241,0,-0.15625
54,458,1461,463,1203,0,-0.15625
55,455,1463,458,1169,0,-0.15625
56,457,1463,460,1139,0,-0.15625
57,456,1466,461,1120,0,-0.15625
58,453,1468,458,1116,0,-0.15625
59,452,1470,459,1121,0,-0.15625
60,451,1473,457,1132,0,-0.15625
61,446,1475,452,1149,0,-0.15625
62,442,1476,444,1175,0,-0.15625
63,441,1476,446,1213,0,-0.15625
64,440,1476,442,1249,0,-0.15625
65,440,1477,441,1280,0,-0.15625
66,436,1477,436,1296,0,-0.15625
67,437,1476,442,1287,0,-0.15625
68,440,1471,442,1267,0,-0.15625
69,437,1458,443,1241,0,-0.15625
70,438,1438,441,1209,0,-0.15625
71,436,1430,439,1198,0,-0.15625
72,437,1429,439,1190,0,-0.15625
73,432,1429,431,1161,0,-0.15625
74,426,1431,428,1124,0,-0.15625
75,423,1431,426,1085,0,-0.15625
76,422,1430,432,972,1,-0.15625
77,428,1425,433,917,1,-0.15625
78,427,1410,436,834,1,-0.15625
79,423,1435,437,775,1,-0.15625
80,422,1435,442,674,1,-0.15625
81,420,1429,442,675,1,-0.15625
82,420,1434,441,678,1,-0.15625
83,421,1428,437,671,1,-0.15625
84,418,1428,438,671,1,-0.15625
85,418,1430,441,689,1,-0.15625
86,421,1436,432,719,1,-0.15625
87,421,1438,433,786,1,-0.15625
88,419,1433,433,894,1,-0.15625
89,422,1436,440,981,1,-0.15625
90,418,1426,424,1190,0,-0.15625
91,476,1419,477,1275,0,-0.15625
92,396,1410,396,1260,0,-0.15625
93,-1,-1,-1,-1,0,-0.15625
94,422,1462,415,997,1,-0.15625
95,442,1448,445,941,1,-0.15625
96,432,1454,445,917,1,-0.15625
97,433,1462,446,913,1,-0.15625
98,434,1455,448,927,1,-0.15625
99,440,1458,449,949,1,-0.15625
100,437,1451,445,994,1,-0.15625
101,442,1447,447,1101,0,-0.15625
102,440,1451,442,1145,0,-0.15625
103,435,1453,440,1189,0,-0.15625
104,432,1451,439,1226,0,-0.15625
105,434,1449,437,1246,0,-0.15625
106,433,1450,436,1244,0,-0.15625
107,435,1449,438,1223,0,-0.15625
108,433,1451,433,1194,0,-0.15625
109,430,1452,430,1173,0,-0.15625
110,434,1455,435,1152,0,-0.15625
111,431,1457,440,1143,0,-0.15625
112,432,1452,435,1139,0,-0.15625
113,430,1452,435,1144,0,-0.15625
114,432,1451,436,1153,0,-0.15625
115,429,1454,434,1169,0,-0.15625
116,430,1453,434,1182,0,-0.15625
117,428,1455,434,1134,0,-0.15625
118,428,1456,433,1215,0,-0.15625
119,430,1453,429,1218,0,-0.15625
120,427,1454,426,1215,0,-0.15625
121,422,1453,425,1213,0,-0.15625
122,424,1454,425,1206,0,-0.15625
123,424,1456,427,1197,0,-0.15625
124,415,1455,421,1191,0,-0.15625
125,416,1455,421,1189,0,-0.15625
126,416,1457,418,1189,0,-0.15625
127,413,1456,413,1189,0,-0.15625
128,410,1455,412,1188,0,-0.15625
129,408,1454,414,1188,0,-0.15625
130,411,1455,410,1189,0,-0.15625
131,405,1456,414,1191,0,-0.15625
132,408,1454,412,1187,0,-0.15625
133,408,1455,414,1190,0,-0.15625
134,408,1455,411,1189,0,-0.15625
135,408,1457,411,1189,0,-0.15625
136,411,1455,413,1187,0,-0.15625
