,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,435,1458,448,1194,0,-1
1,435,1458,442,1194,0,-1
2,436,1459,444,1195,0,-1
3,434,1459,441,1196,0,-1
4,430,1456,439,1194,0,-1
5,430,1458,437,1191,0,-1
6,424,1460,432,1196,0,-1
7,425,1462,428,1198,0,-1
8,422,1465,424,1202,0,-1
9,416,1477,428,1215,0,-1
10,423,1475,430,1228,0,-1
11,427,1477,428,1249,0,-1
12,425,1474,433,1278,0,-1
13,421,1471,423,1296,0,-1
14,405,1465,407,1284,0,-1
15,407,1466,406,1253,0,-1
16,424,1442,433,1172,0,-1
17,448,1437,453,1137,0,-1
18,452,1441,460,1097,0,-1
19,449,1438,457,1063,0,-1
20,448,1431,463,923,1,-1
21,449,1434,466,879,1,-1
22,444,1438,467,822,1,-1
23,441,1442,466,777,1,-1
24,445,1433,469,731,1,-1
25,449,1442,468,706,1,-1
26,448,1441,470,701,1,-1
27,448,1444,468,719,1,-1
28,449,1438,468,757,1,-1
29,447,1443,465,830,1,-1
30,448,1445,458,910,1,-1
31,444,1447,460,1008,1,-1
32,446,1448,459,1113,1,-1
33,446,1449,455,1215,1,-1
34,446,1448,456,1241,1,-1
35,447,1444,454,1155,1,-1
36,448,1443,456,1131,0,-1
37,452,1442,462,978,1,-1
38,451,1444,466,924,1,-1
39,452,1441,469,882,1,-1
40,452,1443,471,865,1,-1
41,451,1446,470,865,1,-1
42,452,1442,468,881,1,-1
43,455,1444,467,906,1,-1
44,451,1445,465,945,1,-1
45,452,1448,463,983,1,-1
46,450,1446,460,1123,0,-1
47,455,1446,458,1180,0,-1
48,451,1443,458,1226,0,-1
49,453,1445,459,1258,0,-1
50,452,1445,457,1254,0,-1
51,456,1445,458,1218,0,-1
52,452,1442,462,1176,0,-1
53,455,1446,461,1143,0,-1
54,455,1444,462,1112,0,-1
55,451,1444,466,1097,0,-1
56,454,1447,466,1092,0,-1
57,458,1448,465,1098,0,-1
58,452,1448,463,1108,0,-1
59,457,1448,463,1129,0,-1
60,455,1448,461,1153,0,-1
61,455,1450,464,1175,0,-1
62,457,1450,464,1193,0,-1
63,456,1453,463,1214,0,-1
64,458,1456,463,1225,0,-1
65,458,1458,467,1228,0,-1
66,460,1462,465,1225,0,-1
67,459,1463,463,1226,0,-1
68,458,1462,466,1230,0,-1
69,461,1461,465,1232,0,-1
70,461,1458,464,1236,0,-1
71,459,1453,463,1239,0,-1
72,453,1448,459,1236,0,-1
73,446,1447,453,1234,0,-1
74,443,1443,447,1218,0,-1
75,430,1440,438,1197,0,-1
76,426,1443,437,1151,0,-1
77,425,1438,437,1102,0,-1
78,424,1434,444,956,1,-1
79,428,1421,447,882,1,-1
80,423,1438,451,803,1,-1
81,418,1435,450,694,1,-1
82,426,1434,455,689,1,-1
83,423,1431,453,701,1,-1
84,425,1439,456,698,1,-1
85,423,1445,452,715,1,-1
86,427,1437,450,768,1,-1
87,426,1437,443,842,1,-1
88,424,1440,444,942,1,-1
89,420,1440,435,1141,0,-1
90,418,1440,427,1261,0,-1
91,422,1440,423,1327,0,-1
92,422,1449,432,1239,0,-1
93,424,1445,436,1129,0,-1
94,420,1442,435,1076,0,-1
95,439,1422,451,974,0,-1
96,421,1423,440,873,1,-1
97,431,1433,450,875,1,-1
98,429,1441,450,883,1,-1
99,436,1443,451,902,1,-1
100,431,1444,451,946,1,-1
101,433,1446,448,990,1,-1
102,431,1446,444,1110,0,-1
103,433,1443,444,1162,0,-1
104,432,1437,437,1215,0,-1
105,434,1441,437,1253,0,-1
106,437,1441,437,1253,0,-1
107,435,1441,440,1222,0,-1
108,435,1442,445,1178,0,-1
109,435,1441,447,1137,0,-1
110,435,1438,444,1107,0,-1
111,439,1443,444,1090,0,-1
112,438,1444,450,1084,0,-1
113,438,1441,446,1089,0,-1
114,441,1441,451,1104,0,-1
115,439,1440,446,1128,0,-1
116,439,1438,445,1157,0,-1
117,441,1440,441,1184,0,-1
118,440,1442,442,1214,0,-1
119,437,1439,442,1223,0,-1
120,437,1439,447,1222,0,-1
121,442,1439,446,1205,0,-1
122,440,1440,442,1184,0,-1
123,440,1439,447,1164,0,-1
124,439,1439,448,1150,0,-1
125,441,1441,446,1141,0,-1
126,440,1439,451,1139,0,-1
127,443,1441,453,1144,0,-1
128,440,1441,451,1155,0,-1
129,444,1439,449,1164,0,-1
130,443,1438,446,1177,0,-1
131,440,1440,447,1190,0,-1
132,441,1438,449,1192,0,-1
133,441,1441,447,1195,0,-1
134,441,1440,451,1195,0,-1
135,446,1441,452,1188,0,-1
136,444,1441,451,1186,0,-1
