,time(ms),x_G,y_G,z_G
0,0.0,0.0390625,-0.0625,1.0
1,0.625,0.0390625,-0.0546875,0.9921875
2,1.25,0.0234375,-0.0546875,1.0078125
3,1.875,0.0390625,-0.078125,1.0
4,2.5,0.03125,-0.0546875,1.0
5,3.125,0.046875,-0.0703125,1.0
6,3.75,0.0234375,-0.0625,0.984375
7,4.375,0.046875,-0.0859375,0.9921875
8,5.0,0.0234375,-0.0625,1.0
9,5.625,0.0078125,-0.0625,0.9921875
10,6.25,0.0234375,-0.0546875,1.0
11,6.875,0.0234375,-0.0546875,1.0
12,7.5,0.03125,-0.0625,0.9921875
13,8.125,0.0234375,-0.0625,0.9921875
14,8.75,0.0234375,-0.0625,1.0
15,9.375,0.03125,-0.0625,1.0
16,10.0,0.0234375,-0.0703125,1.015625
17,10.625,0.03125,-0.0546875,1.0
18,11.25,0.015625,-0.0546875,0.9921875
19,11.875,0.0234375,-0.0625,1.0
20,12.5,0.03125,-0.0625,0.9921875
21,13.125,0.0234375,-0.0546875,1.0
22,13.75,0.0234375,-0.078125,1.0
23,14.375,0.0234375,-0.0546875,1.0
24,15.0,0.0234375,-0.0625,1.0
25,15.625,0.0234375,-0.0546875,1.015625
26,16.25,0.0390625,-0.0703125,1.0
27,16.875,0.03125,-0.078125,1.0
28,17.5,0.03125,-0.0625,1.0
29,18.125,0.046875,-0.078125,1.0
30,18.75,0.03125,-0.0625,1.0078125
31,19.375,0.0390625,-0.0703125,1.0234375
32,20.0,0.046875,-0.0625,1.0
33,20.625,0.046875,-0.078125,1.015625
34,21.25,0.03125,-0.0625,1.0078125
35,21.875,0.0078125,-0.0546875,1.0078125
36,22.5,0.03125,-0.078125,1.0078125
37,23.125,0.0234375,-0.0625,1.0078125
38,23.75,0.0234375,-0.0703125,1.0
39,24.375,0.0390625,-0.0546875,1.0
40,25.0,0.03125,-0.0625,1.0
41,25.625,0.0234375,-0.046875,1.0
42,26.25,0.046875,-0.0546875,1.0078125
43,26.875,0.03125,-0.0546875,1.0
44,27.5,0.03125,-0.0625,1.0
45,28.125,0.0234375,-0.0390625,1.0
46,28.75,0.0546875,-0.0625,1.0
47,29.375,0.0234375,-0.0625,1.0078125
48,30.0,0.03125,-0.0625,1.0
49,30.625,0.0234375,-0.046875,0.9921875
50,31.25,0.03125,-0.046875,1.0
51,31.875,0.0390625,-0.046875,1.0
52,32.5,0.0390625,-0.0703125,0.9765625
53,33.125,0.0234375,-0.0546875,1.0
54,33.75,0.0078125,-0.0546875,1.0
55,34.375,0.0234375,-0.0546875,1.0
56,35.0,0.0234375,-0.0625,0.984375
57,35.625,0.0234375,-0.0546875,0.984375
58,36.25,0.046875,-0.0703125,1.0078125
59,36.875,0.0234375,-0.046875,1.0
60,37.5,0.03125,-0.078125,1.0
61,38.125,0.03125,-0.0625,0.9921875
62,38.75,0.03125,-0.0625,1.0
63,39.375,0.0390625,-0.0703125,1.0
64,40.0,0.03125,-0.0546875,1.0
65,40.625,0.03125,-0.0546875,1.0
66,41.25,0.015625,-0.0703125,1.0
67,41.875,0.046875,-0.078125,1.0
68,42.5,0.0390625,-0.0625,1.0
69,43.125,0.046875,-0.0625,1.0078125
70,43.75,0.03125,-0.0546875,0.9921875
71,44.375,0.0234375,-0.0546875,0.984375
72,45.0,0.0078125,-0.0625,1.0
73,45.625,0.0625,-0.078125,1.0
74,46.25,0.03125,-0.0546875,0.9921875
75,46.875,0.0234375,-0.0390625,1.0
76,47.5,0.015625,-0.0390625,1.0
77,48.125,0.0234375,-0.046875,0.9921875
78,48.75,0.046875,-0.078125,1.0
79,49.375,0.015625,-0.0390625,1.015625
80,50.0,0.0390625,-0.0703125,1.0
81,50.625,0.0546875,-0.0625,1.0
82,51.25,0.046875,-0.0546875,1.0
83,51.875,0.03125,-0.0625,1.0078125
84,52.5,0.046875,-0.0625,1.0
85,53.125,0.0234375,-0.0390625,1.0
86,53.75,0.03125,-0.0546875,0.984375
87,54.375,0.046875,-0.046875,0.9921875
88,55.0,0.015625,-0.0625,1.0
89,55.625,0.0234375,-0.046875,1.0
90,56.25,0.0234375,-0.0546875,0.9921875
91,56.875,0.0234375,-0.078125,1.0
92,57.5,0.0546875,-0.0703125,1.0
93,58.125,0.0390625,-0.046875,1.0078125
94,58.75,0.015625,-0.0625,1.0
95,59.375,0.046875,-0.0703125,1.0
96,60.0,0.0390625,-0.0859375,1.0
97,60.625,0.0390625,-0.078125,1.0078125
98,61.25,0.015625,-0.0625,1.0
99,61.875,0.015625,-0.046875,0.9921875
100,62.5,0.03125,-0.0546875,1.0
101,63.125,0.0390625,-0.078125,1.0078125
102,63.75,0.03125,-0.0625,1.0078125
103,64.375,0.015625,-0.0703125,1.0
104,65.0,0.03125,-0.0625,0.984375
105,65.625,0.0234375,-0.0703125,1.0
106,66.25,0.03125,-0.0625,0.984375
107,66.875,0.0390625,-0.0546875,1.0
108,67.5,0.03125,-0.0546875,1.0
109,68.125,0.0234375,-0.0703125,0.9921875
110,68.75,0.03125,-0.0625,1.0
111,69.375,0.046875,-0.078125,1.0
112,70.0,0.015625,-0.0703125,0.984375
113,70.625,0.03125,-0.078125,0.9921875
114,71.25,0.03125,-0.078125,1.0
115,71.875,0.0078125,-0.0546875,0.9921875
116,72.5,0.03125,-0.0625,0.9921875
117,73.125,0.0234375,-0.046875,0.9921875
118,73.75,0.03125,-0.046875,1.0
119,74.375,0.0234375,-0.0546875,1.0
120,75.0,0.0390625,-0.046875,1.0
121,75.625,0.0390625,-0.0625,0.9921875
122,76.25,0.046875,-0.0703125,0.9921875
123,76.875,0.015625,-0.046875,1.0078125
124,77.5,0.015625,-0.0625,0.9921875
125,78.125,0.0234375,-0.0546875,1.0078125
126,78.75,0.03125,-0.046875,0.9921875
