,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,441,1459,440,1194,0,0.15151515151515152
1,440,1459,440,1194,0,0.15151515151515152
2,439,1456,437,1190,0,0.15151515151515152
3,441,1457,443,1188,0,0.15151515151515152
4,443,1457,442,1191,0,0.15151515151515152
5,441,1461,441,1192,0,0.15151515151515152
6,441,1454,441,1189,0,0.15151515151515152
7,438,1453,439,1187,0,0.15151515151515152
8,441,1454,443,1190,0,0.15151515151515152
9,440,1455,442,1187,0,0.15151515151515152
10,438,1454,441,1190,0,0.15151515151515152
11,441,1460,440,1195,0,0.15151515151515152
12,438,1463,441,1197,0,0.15151515151515152
13,437,1462,439,1199,0,0.15151515151515152
14,433,1466,435,1204,0,0.15151515151515152
15,431,1478,431,1219,0,0.15151515151515152
16,426,1478,427,1234,0,0.15151515151515152
17,429,1469,426,1246,0,0.15151515151515152
18,426,1460,423,1272,0,0.15151515151515152
19,415,1458,420,1282,0,0.15151515151515152
20,409,1451,406,1261,0,0.15151515151515152
21,403,1457,405,1238,0,0.15151515151515152
22,-1,-1,-1,-1,0,0.15151515151515152
23,442,1443,447,1144,0,0.15151515151515152
24,450,1437,450,1099,0,0.15151515151515152
25,446,1436,454,1058,0,0.15151515151515152
26,450,1436,452,947,1,0.15151515151515152
27,447,1437,444,918,1,0.15151515151515152
28,434,1445,440,902,1,0.15151515151515152
29,420,1447,433,867,1,0.15151515151515152
30,416,1451,422,839,1,0.15151515151515152
31,415,1459,422,808,1,0.15151515151515152
32,417,1472,421,791,1,0.15151515151515152
33,421,1470,420,797,1,0.15151515151515152
34,420,1469,424,824,1,0.15151515151515152
35,418,1469,424,860,1,0.15151515151515152
36,426,1468,428,928,1,0.15151515151515152
37,422,1469,431,976,1,0.15151515151515152
38,419,1469,418,1133,0,0.15151515151515152
39,413,1472,413,1217,0,0.15151515151515152
40,411,1470,410,1293,0,0.15151515151515152
41,438,1442,439,1281,0,0.15151515151515152
42,421,1455,425,1247,0,0.15151515151515152
43,418,1452,423,1168,0,0.15151515151515152
44,424,1448,425,1095,0,0.15151515151515152
45,425,1446,423,1064,0,0.15151515151515152
46,424,1443,429,959,1,0.15151515151515152
47,429,1445,431,901,1,0.15151515151515152
48,431,1444,435,893,1,0.15151515151515152
49,431,1444,438,901,1,0.15151515151515152
50,431,1445,437,917,1,0.15151515151515152
51,436,1446,436,962,1,0.15151515151515152
52,438,1443,434,1068,0,0.15151515151515152
53,432,1444,434,1104,0,0.15151515151515152
54,439,1448,437,1140,0,0.15151515151515152
55,434,1443,439,1174,0,0.15151515151515152
56,437,1447,436,1206,0,0.15151515151515152
57,435,1449,436,1226,0,0.15151515151515152
58,434,1450,435,1231,0,0.15151515151515152
59,433,1452,438,1229,0,0.15151515151515152
60,437,1459,438,1226,0,0.15151515151515152
61,437,1462,433,1222,0,0.15151515151515152
62,432,1462,430,1226,0,0.15151515151515152
63,431,1458,434,1232,0,0.15151515151515152
64,428,1450,435,1229,0,0.15151515151515152
65,429,1437,428,1220,0,0.15151515151515152
66,433,1436,434,1214,0,0.15151515151515152
67,436,1429,438,1190,0,0.15151515151515152
68,435,1432,437,1162,0,0.15151515151515152
69,437,1430,436,1118,0,0.15151515151515152
70,438,1432,439,1065,0,0.15151515151515152
71,435,1428,439,941,1,0.15151515151515152
72,436,1421,442,880,1,0.15151515151515152
73,436,1415,442,797,1,0.15151515151515152
74,437,1389,444,683,1,0.15151515151515152
75,428,1425,440,684,1,0.15151515151515152
76,430,1437,449,674,1,0.15151515151515152
77,432,1435,442,676,1,0.15151515151515152
78,434,1432,441,678,1,0.15151515151515152
79,432,1440,443,681,1,0.15151515151515152
80,433,1441,443,712,1,0.15151515151515152
81,435,1438,440,761,1,0.15151515151515152
82,434,1453,442,839,1,0.15151515151515152
83,390,1440,394,958,1,0.15151515151515152
84,-1,-1,-1,-1,1,0.15151515151515152
85,484,1472,497,1141,0,0.15151515151515152
86,420,1426,424,1132,0,0.15151515151515152
87,476,1470,484,1179,0,0.15151515151515152
88,-1,-1,-1,-1,0,0.15151515151515152
89,419,1496,427,1216,0,0.15151515151515152
90,422,1475,427,1203,0,0.15151515151515152
91,419,1478,428,1221,0,0.15151515151515152
92,419,1482,426,1231,0,0.15151515151515152
93,417,1484,424,1218,0,0.15151515151515152
94,428,1469,434,1209,0,0.15151515151515152
95,432,1469,437,1212,0,0.15151515151515152
96,436,1473,438,1205,0,0.15151515151515152
97,434,1477,439,1206,0,0.15151515151515152
98,435,1472,440,1207,0,0.15151515151515152
99,433,1468,437,1203,0,0.15151515151515152
100,434,1468,439,1200,0,0.15151515151515152
101,439,1471,444,1204,0,0.15151515151515152
102,437,1470,440,1203,0,0.15151515151515152
103,436,1469,443,1203,0,0.15151515151515152
104,436,1468,439,1203,0,0.15151515151515152
105,437,1471,440,1201,0,0.15151515151515152
106,440,1466,444,1199,0,0.15151515151515152
107,438,1462,441,1195,0,0.15151515151515152
108,436,1463,443,1196,0,0.15151515151515152
109,439,1462,446,1197,0,0.15151515151515152
110,438,1464,442,1196,0,0.15151515151515152
111,436,1460,441,1196,0,0.15151515151515152
112,439,1459,442,1190,0,0.15151515151515152
113,439,1461,439,1192,0,0.15151515151515152
114,440,1457,446,1192,0,0.15151515151515152
115,435,1459,438,1191,0,0.15151515151515152
116,437,1458,439,1190,0,0.15151515151515152
117,435,1456,437,1189,0,0.15151515151515152
118,438,1458,440,1191,0,0.15151515151515152
119,439,1454,445,1187,0,0.15151515151515152
120,438,1454,443,1185,0,0.15151515151515152
121,436,1450,444,1184,0,0.15151515151515152
