,time(ms),x_G,y_G,z_G
0,0.0,0.03125,-0.0703125,1.03125
1,0.625,0.03125,-0.0546875,1.0625
2,1.25,0.03125,-0.078125,1.015625
3,1.875,0.03125,-0.0625,1.046875
4,2.5,0.03125,-0.0546875,1.0234375
5,3.125,0.0390625,-0.078125,1.015625
6,3.75,0.03125,-0.0859375,1.03125
7,4.375,0.0234375,-0.0703125,1.0
8,5.0,0.03125,-0.09375,0.9921875
9,5.625,0.046875,-0.078125,0.9921875
10,6.25,0.0390625,-0.0859375,0.96875
11,6.875,0.03125,-0.0703125,0.9921875
12,7.5,0.0390625,-0.0546875,0.984375
13,8.125,0.046875,-0.0703125,0.96875
14,8.75,0.046875,-0.0625,0.96875
15,9.375,0.046875,-0.046875,0.9765625
16,10.0,0.046875,-0.0625,0.9453125
17,10.625,0.03125,-0.0546875,0.9453125
18,11.25,0.046875,-0.0703125,0.96875
19,11.875,0.0234375,-0.0625,0.984375
20,12.5,0.015625,-0.0546875,0.9609375
21,13.125,0.0234375,-0.078125,0.9609375
22,13.75,0.015625,-0.0703125,0.96875
23,14.375,0.03125,-0.078125,0.9609375
24,15.0,0.0234375,-0.0625,0.984375
25,15.625,0.03125,-0.0703125,1.0
26,16.25,0.015625,-0.0546875,1.0
27,16.875,0.046875,-0.0703125,1.0
28,17.5,0.046875,-0.078125,1.0078125
29,18.125,0.0625,-0.09375,0.984375
30,18.75,0.03125,-0.0703125,1.0234375
31,19.375,0.03125,-0.0703125,1.03125
32,20.0,0.0390625,-0.078125,1.0078125
33,20.625,0.015625,-0.0625,1.03125
34,21.25,0.0234375,-0.0625,1.03125
35,21.875,0.0234375,-0.0625,1.03125
36,22.5,0.03125,-0.078125,1.0234375
37,23.125,0.015625,-0.0703125,1.015625
38,23.75,0.03125,-0.078125,1.0078125
39,24.375,0.03125,-0.078125,1.0
40,25.0,0.0390625,-0.0703125,1.0
41,25.625,0.03125,-0.0546875,1.0078125
42,26.25,0.0234375,-0.0546875,0.9921875
43,26.875,0.046875,-0.0859375,0.9921875
44,27.5,0.046875,-0.0859375,1.0
45,28.125,0.0546875,-0.09375,1.0
46,28.75,0.046875,-0.0625,0.9921875
47,29.375,0.0546875,-0.09375,0.984375
48,30.0,0.046875,-0.078125,1.0
49,30.625,0.0625,-0.078125,0.9921875
50,31.25,0.03125,-0.0546875,0.9921875
51,31.875,0.0234375,-0.0390625,0.9921875
52,32.5,0.046875,-0.0625,1.0
53,33.125,0.0234375,-0.0625,1.0
54,33.75,0.046875,-0.0625,1.0
55,34.375,0.03125,-0.0625,1.0078125
56,35.0,0.0234375,-0.0625,1.0
57,35.625,0.0546875,-0.0703125,1.0
58,36.25,0.03125,-0.078125,1.0
59,36.875,0.046875,-0.0703125,1.0
60,37.5,0.0546875,-0.0703125,0.9921875
61,38.125,0.0625,-0.0625,1.0234375
62,38.75,0.0390625,-0.0625,1.0078125
63,39.375,0.0390625,-0.0703125,1.0234375
64,40.0,0.0390625,-0.0546875,1.0078125
65,40.625,0.03125,-0.0859375,1.03125
66,41.25,0.0234375,-0.0703125,1.0234375
67,41.875,0.0234375,-0.0625,1.03125
68,42.5,0.03125,-0.078125,1.0234375
69,43.125,0.0390625,-0.078125,1.0234375
70,43.75,0.0234375,-0.0703125,1.015625
71,44.375,0.03125,-0.1015625,1.0078125
72,45.0,0.03125,-0.09375,1.0078125
73,45.625,0.03125,-0.09375,1.0
74,46.25,0.0390625,-0.1015625,1.03125
75,46.875,0.03125,-0.078125,0.9921875
76,47.5,0.03125,-0.078125,1.015625
77,48.125,0.0546875,-0.0859375,1.0
78,48.75,0.046875,-0.0859375,1.0
79,49.375,0.0390625,-0.0703125,1.0
80,50.0,0.03125,-0.0859375,1.0078125
81,50.625,0.046875,-0.0703125,0.9921875
82,51.25,0.0234375,-0.0625,0.9921875
83,51.875,0.0390625,-0.078125,0.9921875
84,52.5,0.046875,-0.0625,0.984375
85,53.125,0.0234375,-0.0703125,1.0
86,53.75,0.03125,-0.0625,0.9921875
87,54.375,0.0234375,-0.0625,1.0
88,55.0,0.03125,-0.0546875,1.0
89,55.625,0.03125,-0.0703125,1.0078125
90,56.25,0.0234375,-0.0546875,1.0
91,56.875,0.03125,-0.0625,1.0
92,57.5,0.046875,-0.0625,1.0078125
93,58.125,0.03125,-0.0625,0.9921875
94,58.75,0.0390625,-0.0625,1.0
95,59.375,0.015625,-0.0546875,1.0
96,60.0,0.0234375,-0.0625,1.0
97,60.625,0.03125,-0.0625,1.0078125
98,61.25,0.0234375,-0.0546875,1.0078125
99,61.875,0.046875,-0.0859375,1.0
100,62.5,0.0390625,-0.0859375,1.0
101,63.125,0.0390625,-0.0703125,1.0
102,63.75,0.015625,-0.0546875,1.015625
103,64.375,0.046875,-0.078125,1.0078125
104,65.0,0.0234375,-0.0703125,1.0078125
105,65.625,0.0390625,-0.09375,0.9921875
106,66.25,0.015625,-0.0625,1.0
107,66.875,0.03125,-0.0859375,1.0078125
108,67.5,0.0234375,-0.078125,1.0
109,68.125,0.03125,-0.078125,0.9921875
110,68.75,0.0546875,-0.0703125,1.0078125
111,69.375,0.03125,-0.078125,1.0
112,70.0,0.0234375,-0.09375,0.9921875
113,70.625,0.015625,-0.0625,0.9921875
114,71.25,0.03125,-0.0625,0.984375
115,71.875,0.0390625,-0.0703125,1.0
116,72.5,0.046875,-0.0625,1.0
117,73.125,0.03125,-0.078125,0.984375
118,73.75,0.046875,-0.0859375,0.9765625
119,74.375,0.046875,-0.078125,0.984375
120,75.0,0.0390625,-0.0625,0.9765625
121,75.625,0.0234375,-0.0546875,0.984375
122,76.25,0.0234375,-0.078125,1.0
123,76.875,0.0390625,-0.0625,1.0
124,77.5,0.0390625,-0.0703125,0.9921875
125,78.125,0.0234375,-0.0625,1.0078125
126,78.75,0.0234375,-0.0625,1.0
127,79.375,0.03125,-0.078125,1.0
128,80.0,0.03125,-0.0703125,1.0078125
129,80.625,0.0390625,-0.1015625,0.984375
130,81.25,0.0234375,-0.0546875,0.9921875
131,81.875,0.0390625,-0.0625,1.0
132,82.5,0.0546875,-0.0859375,1.0
133,83.125,0.03125,-0.046875,1.0
134,83.75,0.046875,-0.046875,1.0
135,84.375,0.046875,-0.046875,1.0390625
136,85.0,0.03125,-0.0625,1.015625
137,85.625,0.0390625,-0.0703125,1.0
138,86.25,0.046875,-0.0703125,1.0
139,86.875,0.046875,-0.078125,1.015625
140,87.5,0.046875,-0.078125,1.0078125
141,88.125,0.03125,-0.0703125,1.0
142,88.75,0.0234375,-0.0625,0.9921875
143,89.375,0.03125,-0.09375,1.015625
144,90.0,0.0546875,-0.09375,0.9921875
145,90.625,0.0390625,-0.09375,1.0
146,91.25,0.03125,-0.078125,1.0
147,91.875,0.0625,-0.09375,1.0078125
148,92.5,0.0,-0.0390625,1.0
149,93.125,0.0234375,-0.09375,0.984375
150,93.75,0.0234375,-0.0546875,1.0
151,94.375,0.0234375,-0.0546875,0.96875
152,95.0,0.0390625,-0.09375,0.9765625
153,95.625,0.03125,-0.078125,1.0
154,96.25,0.0546875,-0.0859375,1.0
155,96.875,0.0,-0.03125,0.984375
156,97.5,0.015625,-0.0859375,1.0078125
157,98.125,0.03125,-0.078125,0.96875
158,98.75,0.0234375,-0.0625,0.953125
159,99.375,0.03125,-0.0703125,0.96875
160,100.0,0.03125,-0.0703125,0.96875
161,100.625,0.0078125,-0.0546875,0.984375
162,101.25,0.0078125,-0.09375,0.9921875
163,101.875,0.046875,-0.0703125,1.03125
164,102.5,0.0234375,-0.0703125,0.9609375
165,103.125,0.03125,-0.0546875,0.9921875
166,103.75,0.0234375,-0.078125,1.0
167,104.375,0.03125,-0.0625,0.96875
168,105.0,0.0078125,-0.0390625,0.9921875
