,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,446,1448,455,1280,0,-1
1,451,1448,453,1279,0,-1
2,450,1451,452,1283,0,-1
3,448,1448,454,1284,0,-1
4,450,1448,454,1284,0,-1
5,451,1448,454,1283,0,-1
6,451,1449,454,1285,0,-1
7,452,1449,456,1286,0,-1
8,452,1449,455,1285,0,-1
9,453,1449,453,1286,0,-1
10,451,1450,453,1286,0,-1
11,451,1446,452,1286,0,-1
12,452,1449,452,1283,0,-1
13,448,1446,451,1286,0,-1
14,452,1446,451,1289,0,-1
15,451,1449,454,1298,0,-1
16,453,1448,454,1313,0,-1
17,450,1448,454,1326,0,-1
18,453,1451,458,1332,0,-1
19,449,1449,455,1329,0,-1
20,451,1450,452,1317,0,-1
21,450,1453,453,1303,0,-1
22,450,1454,455,1300,0,-1
23,450,1452,454,1295,0,-1
24,451,1448,458,1284,0,-1
25,454,1451,453,1266,0,-1
26,451,1447,457,1240,0,-1
27,453,1447,457,1209,0,-1
28,449,1445,455,1167,0,-1
29,450,1444,460,1127,0,-1
30,449,1445,462,1087,0,-1
31,454,1448,464,1048,0,-1
32,452,1442,469,766,1,-1
33,453,1447,469,771,1,-1
34,451,1446,469,782,1,-1
35,450,1448,458,1063,0,-1
36,452,1450,463,1097,0,-1
37,452,1445,461,1144,0,-1
38,452,1451,456,1208,0,-1
39,452,1448,454,1286,0,-1
40,450,1449,455,1369,0,-1
41,454,1447,453,1350,0,-1
42,452,1450,454,1286,0,-1
43,452,1445,457,1207,0,-1
44,452,1445,457,1163,0,-1
45,450,1446,458,1122,0,-1
46,450,1444,461,1103,0,-1
47,451,1444,460,1104,0,-1
48,452,1446,460,1122,0,-1
49,453,1447,462,1152,0,-1
50,451,1449,457,1200,0,-1
51,452,1447,459,1252,0,-1
52,452,1446,455,1303,0,-1
53,451,1445,451,1347,0,-1
54,449,1446,450,1337,0,-1
55,450,1446,457,1294,0,-1
56,450,1447,455,1242,0,-1
57,450,1447,458,1207,0,-1
58,448,1446,457,1181,0,-1
59,452,1447,460,1178,0,-1
60,450,1449,456,1184,0,-1
61,450,1447,456,1210,0,-1
62,452,1449,454,1237,0,-1
63,454,1446,458,1280,0,-1
64,452,1447,458,1320,0,-1
65,452,1444,453,1337,0,-1
66,455,1445,458,1324,0,-1
67,451,1447,456,1283,0,-1
68,455,1450,457,1244,0,-1
69,450,1446,459,1222,0,-1
70,452,1446,456,1207,0,-1
71,448,1444,460,1207,0,-1
72,454,1447,455,1222,0,-1
73,452,1448,459,1246,0,-1
74,451,1447,455,1272,0,-1
75,452,1446,457,1306,0,-1
76,453,1447,455,1327,0,-1
77,450,1445,456,1325,0,-1
78,451,1447,459,1301,0,-1
79,449,1449,454,1269,0,-1
80,453,1449,459,1246,0,-1
81,454,1446,455,1231,0,-1
82,453,1449,453,1227,0,-1
83,454,1448,457,1236,0,-1
84,453,1448,457,1247,0,-1
85,450,1448,453,1275,0,-1
86,453,1447,456,1299,0,-1
87,454,1447,455,1313,0,-1
88,448,1446,455,1317,0,-1
89,450,1448,453,1300,0,-1
90,457,1447,458,1277,0,-1
91,454,1449,454,1257,0,-1
92,456,1447,456,1243,0,-1
93,453,1448,456,1240,0,-1
94,454,1447,457,1246,0,-1
95,451,1448,457,1259,0,-1
96,452,1446,454,1282,0,-1
97,454,1446,456,1304,0,-1
98,451,1447,454,1316,0,-1
99,453,1448,453,1323,0,-1
100,453,1447,454,1312,0,-1
101,452,1451,456,1300,0,-1
102,454,1447,456,1293,0,-1
103,455,1449,458,1293,0,-1
104,454,1445,456,1294,0,-1
105,454,1449,456,1297,0,-1
106,456,1445,454,1291,0,-1
107,454,1443,456,1279,0,-1
108,454,1446,456,1259,0,-1
109,454,1448,461,1220,0,-1
110,454,1443,462,1175,0,-1
111,450,1443,464,1116,0,-1
112,454,1447,461,1055,0,-1
113,452,1444,469,736,1,-1
114,451,1450,473,656,1,-1
115,449,1446,474,579,1,-1
116,451,1446,481,470,1,-1
117,450,1439,477,482,1,-1
118,450,1452,477,541,1,-1
119,455,1448,477,616,1,-1
120,448,1448,477,704,1,-1
121,-1,-1,-1,-1,1,-1
122,408,1445,419,1234,0,-1
123,423,1453,424,1401,0,-1
124,495,1438,500,1311,0,-1
125,454,1378,461,1161,0,-1
126,479,1429,488,1139,0,-1
127,424,1441,430,1161,0,-1
128,459,1434,462,1161,0,-1
129,442,1444,451,1150,0,-1
130,452,1459,454,1156,0,-1
131,448,1459,451,1188,0,-1
132,447,1457,452,1232,0,-1
133,445,1453,453,1277,0,-1
134,445,1452,448,1332,0,-1
135,449,1453,455,1357,0,-1
136,450,1455,448,1331,0,-1
137,447,1452,451,1287,0,-1
138,449,1454,451,1242,0,-1
139,450,1452,449,1203,0,-1
140,448,1454,452,1180,0,-1
141,452,1451,453,1176,0,-1
142,453,1456,454,1190,0,-1
143,448,1455,451,1213,0,-1
144,451,1455,454,1250,0,-1
145,453,1455,451,1298,0,-1
146,445,1457,454,1335,0,-1
147,447,1450,450,1339,0,-1
148,450,1452,455,1323,0,-1
149,447,1452,450,1283,0,-1
150,450,1447,452,1241,0,-1
151,450,1451,455,1214,0,-1
152,446,1446,449,1202,0,-1
153,449,1451,450,1202,0,-1
154,449,1449,451,1219,0,-1
155,445,1450,448,1243,0,-1
156,451,1448,451,1279,0,-1
157,450,1452,453,1311,0,-1
158,450,1452,451,1332,0,-1
159,451,1449,450,1326,0,-1
160,451,1448,454,1295,0,-1
161,451,1447,450,1266,0,-1
162,451,1450,456,1240,0,-1
163,448,1455,453,1225,0,-1
164,448,1455,452,1225,0,-1
165,447,1455,454,1232,0,-1
166,450,1457,449,1252,0,-1
167,445,1461,455,1280,0,-1
168,450,1459,451,1312,0,-1
169,449,1458,451,1333,0,-1
170,449,1463,452,1334,0,-1
171,447,1457,450,1314,0,-1
172,449,1460,451,1289,0,-1
173,449,1455,450,1255,0,-1
174,447,1455,453,1247,0,-1
175,449,1458,449,1241,0,-1
176,451,1454,452,1244,0,-1
177,449,1456,451,1258,0,-1
178,451,1456,449,1283,0,-1
179,448,1459,452,1300,0,-1
180,452,1452,449,1322,0,-1
181,448,1457,452,1322,0,-1
182,448,1454,453,1310,0,-1
183,451,1456,447,1292,0,-1
184,446,1458,448,1268,0,-1
185,450,1454,454,1253,0,-1
186,447,1454,449,1250,0,-1
187,449,1455,452,1256,0,-1
188,446,1457,451,1268,0,-1
189,451,1452,453,1289,0,-1
190,447,1456,454,1300,0,-1
191,447,1453,451,1317,0,-1
192,449,1456,450,1315,0,-1
193,447,1453,450,1305,0,-1
194,449,1455,449,1288,0,-1
195,449,1456,453,1272,0,-1
196,449,1454,455,1264,0,-1
197,450,1458,448,1260,0,-1
198,451,1457,452,1262,0,-1
199,451,1454,451,1277,0,-1
200,454,1456,449,1289,0,-1
201,450,1456,451,1302,0,-1
202,448,1456,452,1310,0,-1
203,449,1454,450,1309,0,-1
204,448,1456,453,1302,0,-1
205,448,1454,454,1288,0,-1
206,448,1454,448,1276,0,-1
207,445,1456,453,1272,0,-1
208,450,1453,455,1268,0,-1
209,448,1454,450,1276,0,-1
210,447,1457,450,1286,0,-1
211,448,1452,449,1290,0,-1
