,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,448,1462,456,1298,0,-1
1,446,1465,452,1297,0,-1
2,452,1465,451,1299,0,-1
3,449,1465,453,1299,0,-1
4,450,1467,452,1312,0,-1
5,451,1468,453,1329,0,-1
6,450,1467,451,1344,0,-1
7,454,1468,451,1352,0,-1
8,449,1464,454,1343,0,-1
9,452,1469,454,1332,0,-1
10,450,1464,452,1314,0,-1
11,447,1465,449,1299,0,-1
12,448,1465,455,1282,0,-1
13,453,1464,452,1265,0,-1
14,451,1464,456,1255,0,-1
15,449,1461,453,1237,0,-1
16,448,1461,449,1216,0,-1
17,451,1462,455,1191,0,-1
18,450,1461,455,1171,0,-1
19,452,1463,453,1141,0,-1
20,451,1463,457,1116,0,-1
21,453,1464,458,1093,0,-1
22,453,1467,452,1076,0,-1
23,453,1463,454,1077,0,-1
24,451,1462,452,1091,0,-1
25,450,1461,452,1127,0,-1
26,453,1463,450,1185,0,-1
27,452,1463,454,1259,0,-1
28,448,1468,453,1339,0,-1
29,453,1460,454,1394,0,-1
30,452,1465,456,1332,0,-1
31,453,1464,454,1256,0,-1
32,450,1463,453,1194,0,-1
33,448,1461,452,1150,0,-1
34,452,1464,454,1113,0,-1
35,452,1467,457,1097,0,-1
36,452,1466,454,1097,0,-1
37,453,1463,457,1116,0,-1
38,455,1464,455,1153,0,-1
39,452,1464,456,1200,0,-1
40,453,1463,451,1252,0,-1
41,452,1465,452,1310,0,-1
42,454,1466,456,1369,0,-1
43,456,1469,457,1366,0,-1
44,452,1466,453,1309,0,-1
45,445,1467,454,1256,0,-1
46,449,1465,454,1206,0,-1
47,456,1465,453,1173,0,-1
48,448,1467,453,1164,0,-1
49,449,1467,456,1170,0,-1
50,453,1463,456,1187,0,-1
51,449,1470,455,1226,0,-1
52,450,1466,454,1273,0,-1
53,446,1460,452,1324,0,-1
54,452,1464,456,1362,0,-1
55,451,1466,452,1350,0,-1
56,455,1464,454,1310,0,-1
57,453,1467,452,1267,0,-1
58,455,1468,452,1225,0,-1
59,454,1464,454,1194,0,-1
60,451,1467,453,1184,0,-1
61,451,1464,452,1183,0,-1
62,450,1467,453,1203,0,-1
63,451,1465,454,1227,0,-1
64,450,1464,453,1265,0,-1
65,454,1464,453,1299,0,-1
66,448,1464,449,1341,0,-1
67,452,1462,455,1359,0,-1
68,451,1469,452,1335,0,-1
69,453,1466,452,1306,0,-1
70,452,1468,452,1284,0,-1
71,456,1463,456,1275,0,-1
72,452,1469,451,1288,0,-1
73,453,1467,452,1325,0,-1
74,451,1461,456,1362,0,-1
75,452,1463,454,1362,0,-1
76,452,1463,455,1335,0,-1
77,453,1466,449,1290,0,-1
78,452,1465,453,1255,0,-1
79,452,1462,452,1233,0,-1
80,448,1467,453,1211,0,-1
81,450,1467,453,1184,0,-1
82,451,1468,456,1149,0,-1
83,452,1466,459,1111,0,-1
84,452,1467,461,1065,0,-1
85,451,1467,460,751,1,-1
86,450,1466,461,701,1,-1
87,449,1468,460,599,1,-1
88,454,1466,457,529,1,-1
89,451,1472,470,482,1,-1
90,449,1466,471,529,1,-1
91,449,1472,461,596,1,-1
92,445,1462,464,661,1,-1
93,448,1468,460,742,1,-1
94,482,1478,473,1120,0,-1
95,523,1486,527,1282,0,-1
96,438,1468,442,1358,0,-1
97,487,1474,482,1269,0,-1
98,413,1425,419,1250,0,-1
99,498,1380,496,1168,0,-1
100,410,1457,415,1219,0,-1
101,436,1484,434,1252,0,-1
102,508,1398,508,1178,0,-1
103,452,1455,454,1267,0,-1
104,450,1445,454,1273,0,-1
105,453,1445,457,1302,0,-1
106,446,1444,451,1309,0,-1
107,449,1446,452,1306,0,-1
108,452,1446,451,1299,0,-1
109,450,1442,454,1276,0,-1
110,449,1440,455,1263,0,-1
111,450,1448,452,1256,0,-1
112,451,1445,450,1257,0,-1
113,449,1448,455,1258,0,-1
114,450,1444,453,1269,0,-1
115,450,1445,453,1284,0,-1
116,447,1448,451,1298,0,-1
117,447,1446,454,1293,0,-1
118,449,1446,454,1300,0,-1
119,451,1443,451,1290,0,-1
120,450,1442,449,1280,0,-1
121,452,1443,453,1274,0,-1
122,447,1448,454,1268,0,-1
123,444,1444,454,1268,0,-1
124,449,1446,451,1270,0,-1
125,447,1445,453,1276,0,-1
126,449,1442,452,1284,0,-1
127,449,1442,449,1289,0,-1
128,448,1441,451,1295,0,-1
129,449,1445,451,1291,0,-1
130,447,1444,451,1291,0,-1
131,449,1445,454,1281,0,-1
132,450,1445,449,1287,0,-1
133,451,1445,453,1285,0,-1
134,449,1452,454,1286,0,-1
135,452,1452,452,1281,0,-1
136,452,1457,455,1291,0,-1
