,start_x,start_y,end_x,end_Y,top_of_magnet,y_pixel_scale
0,443,1502,443,1325,0,-1
1,443,1500,442,1325,0,-1
2,447,1500,445,1324,0,-1
3,445,1505,441,1329,0,-1
4,446,1506,446,1328,0,-1
5,445,1505,448,1329,0,-1
6,445,1506,446,1330,0,-1
7,446,1507,444,1330,0,-1
8,448,1506,445,1330,0,-1
9,446,1501,443,1327,0,-1
10,446,1505,443,1322,0,-1
11,443,1502,446,1323,0,-1
12,447,1501,445,1321,0,-1
13,446,1495,444,1320,0,-1
14,443,1495,446,1315,0,-1
15,444,1495,441,1319,0,-1
16,446,1496,444,1332,0,-1
17,445,1496,438,1351,0,-1
18,443,1495,439,1380,0,-1
19,446,1495,443,1390,0,-1
20,447,1494,444,1373,0,-1
21,441,1487,444,1337,0,-1
22,446,1486,445,1309,0,-1
23,443,1484,446,1285,0,-1
24,445,1487,444,1264,0,-1
25,444,1490,443,1219,0,-1
26,445,1489,445,1166,0,-1
27,445,1495,445,1117,0,-1
28,442,1495,447,897,1,-1
29,444,1494,449,860,1,-1
30,443,1493,449,835,1,-1
31,444,1489,447,808,1,-1
32,443,1490,449,796,1,-1
33,442,1491,450,805,1,-1
34,444,1487,450,821,1,-1
35,444,1489,446,861,1,-1
36,442,1488,447,918,1,-1
37,441,1490,443,1145,0,-1
38,444,1488,446,1204,0,-1
39,444,1493,445,1273,0,-1
40,444,1491,445,1348,0,-1
41,443,1492,444,1399,0,-1
42,444,1494,443,1352,0,-1
43,442,1491,445,1277,0,-1
44,443,1494,444,1211,0,-1
45,445,1491,445,1164,0,-1
46,444,1490,444,1141,0,-1
47,442,1491,443,1131,0,-1
48,443,1492,447,1139,0,-1
49,442,1491,446,1160,0,-1
50,443,1491,445,1192,0,-1
51,441,1489,442,1240,0,-1
52,445,1491,444,1286,0,-1
53,443,1491,444,1340,0,-1
54,441,1488,441,1378,0,-1
55,443,1488,442,1362,0,-1
56,446,1490,445,1315,0,-1
57,443,1490,446,1269,0,-1
58,444,1491,443,1231,0,-1
59,442,1491,442,1212,0,-1
60,443,1491,442,1211,0,-1
61,445,1490,447,1224,0,-1
62,444,1490,444,1247,0,-1
63,444,1492,443,1276,0,-1
64,443,1493,444,1318,0,-1
65,443,1491,444,1350,0,-1
66,445,1490,444,1362,0,-1
67,442,1491,444,1344,0,-1
68,445,1491,442,1312,0,-1
69,444,1491,443,1283,0,-1
70,445,1492,443,1254,0,-1
71,441,1492,439,1243,0,-1
72,442,1491,441,1249,0,-1
73,445,1491,441,1258,0,-1
74,442,1491,442,1282,0,-1
75,443,1489,440,1309,0,-1
76,441,1491,443,1335,0,-1
77,441,1490,439,1352,0,-1
78,442,1491,442,1346,0,-1
79,442,1491,444,1327,0,-1
80,443,1491,443,1304,0,-1
81,442,1491,441,1284,0,-1
82,443,1490,442,1273,0,-1
83,443,1492,443,1270,0,-1
84,442,1490,445,1277,0,-1
85,443,1489,442,1295,0,-1
86,444,1491,440,1311,0,-1
87,441,1489,440,1332,0,-1
88,442,1491,442,1341,0,-1
89,443,1489,444,1335,0,-1
90,443,1489,444,1327,0,-1
91,440,1491,442,1312,0,-1
92,442,1490,443,1299,0,-1
93,443,1491,444,1290,0,-1
94,441,1490,444,1289,0,-1
95,442,1490,441,1295,0,-1
96,444,1491,446,1302,0,-1
97,443,1492,440,1314,0,-1
98,445,1492,440,1323,0,-1
99,443,1491,442,1329,0,-1
100,444,1490,442,1324,0,-1
101,444,1490,443,1322,0,-1
102,444,1491,446,1317,0,-1
103,442,1491,441,1311,0,-1
104,443,1491,444,1306,0,-1
105,442,1489,443,1304,0,-1
106,445,1490,443,1307,0,-1
107,445,1490,446,1311,0,-1
108,442,1491,441,1310,0,-1
109,440,1489,446,1312,0,-1
110,445,1491,442,1313,0,-1
111,445,1491,446,1312,0,-1
112,442,1488,442,1312,0,-1
113,441,1489,442,1315,0,-1
114,443,1489,446,1314,0,-1
115,441,1491,444,1315,0,-1
116,444,1489,446,1319,0,-1
117,443,1490,443,1323,0,-1
118,445,1490,444,1328,0,-1
119,444,1488,447,1337,0,-1
120,445,1491,443,1344,0,-1
121,439,1491,441,1347,0,-1
122,442,1493,442,1347,0,-1
123,443,1489,441,1341,0,-1
124,442,1490,445,1334,0,-1
125,441,1487,443,1323,0,-1
126,442,1490,445,1304,0,-1
127,443,1488,444,1284,0,-1
128,442,1489,443,1261,0,-1
129,444,1486,444,1234,0,-1
130,446,1491,445,1202,0,-1
131,443,1490,446,1165,0,-1
132,443,1492,447,1126,0,-1
133,443,1491,449,900,1,-1
134,443,1496,447,869,1,-1
135,443,1492,446,826,1,-1
136,441,1500,446,792,1,-1
137,444,1494,451,768,1,-1
138,442,1500,449,765,1,-1
139,446,1492,450,803,1,-1
140,445,1488,448,856,1,-1
141,441,1483,447,1133,0,-1
142,439,1490,443,1209,0,-1
