,time(ms),x_G,y_G,z_G
0,0.0,0.03125,-0.1015625,0.9765625
1,0.625,0.03125,-0.0859375,0.9765625
2,1.25,0.0234375,-0.0703125,0.96875
3,1.875,0.03125,-0.09375,0.984375
4,2.5,0.0390625,-0.1015625,1.0
5,3.125,0.0234375,-0.0859375,1.0078125
6,3.75,0.03125,-0.078125,1.0
7,4.375,0.046875,-0.078125,0.984375
8,5.0,0.03125,-0.09375,1.015625
9,5.625,0.046875,-0.09375,1.0078125
10,6.25,0.03125,-0.0625,1.0
11,6.875,0.015625,-0.078125,1.015625
12,7.5,0.0390625,-0.0859375,1.015625
13,8.125,0.0546875,-0.1015625,0.9921875
14,8.75,0.0234375,-0.078125,1.0
15,9.375,0.0390625,-0.0703125,1.0078125
16,10.0,0.046875,-0.078125,1.015625
17,10.625,0.046875,-0.09375,1.0234375
18,11.25,0.0390625,-0.1015625,1.015625
19,11.875,0.03125,-0.078125,1.015625
20,12.5,0.0390625,-0.09375,1.015625
21,13.125,0.0234375,-0.0859375,1.0234375
22,13.75,0.03125,-0.0859375,1.015625
23,14.375,0.0234375,-0.0703125,1.0234375
24,15.0,0.0234375,-0.09375,0.9921875
25,15.625,0.046875,-0.1015625,1.0234375
26,16.25,0.046875,-0.1015625,1.0
27,16.875,0.0546875,-0.078125,1.0
28,17.5,0.046875,-0.0859375,1.015625
29,18.125,0.046875,-0.09375,1.0
30,18.75,0.046875,-0.078125,0.96875
31,19.375,0.03125,-0.0859375,1.0
32,20.0,0.046875,-0.09375,1.0
33,20.625,0.0546875,-0.0859375,1.0
34,21.25,0.03125,-0.09375,0.984375
35,21.875,0.0546875,-0.0859375,1.0
36,22.5,0.046875,-0.0703125,1.0
37,23.125,0.046875,-0.09375,0.9921875
38,23.75,0.046875,-0.09375,0.984375
39,24.375,0.03125,-0.078125,0.9765625
40,25.0,0.0546875,-0.0859375,0.984375
41,25.625,0.046875,-0.09375,0.9765625
42,26.25,0.0546875,-0.078125,0.9921875
43,26.875,0.0546875,-0.09375,0.984375
44,27.5,0.0390625,-0.0859375,0.9921875
45,28.125,0.0703125,-0.078125,0.9765625
46,28.75,0.0546875,-0.0859375,0.9765625
47,29.375,0.03125,-0.0625,0.984375
48,30.0,0.03125,-0.078125,1.0
49,30.625,0.046875,-0.0859375,1.0
50,31.25,0.0546875,-0.0859375,1.0078125
51,31.875,0.0546875,-0.09375,1.015625
52,32.5,0.046875,-0.0703125,1.0078125
53,33.125,0.0546875,-0.09375,1.0
54,33.75,0.03125,-0.0859375,1.0
55,34.375,0.0703125,-0.1015625,1.015625
56,35.0,0.0390625,-0.1015625,1.0
57,35.625,0.046875,-0.0625,1.0390625
58,36.25,0.0625,-0.078125,1.0234375
59,36.875,0.046875,-0.078125,1.03125
60,37.5,0.03125,-0.0703125,1.046875
61,38.125,0.046875,-0.09375,1.0
62,38.75,0.0546875,-0.0859375,1.0234375
63,39.375,0.0390625,-0.0859375,1.015625
64,40.0,0.0625,-0.09375,1.0
65,40.625,0.046875,-0.078125,1.0234375
66,41.25,0.03125,-0.0703125,1.03125
67,41.875,0.046875,-0.09375,1.0078125
68,42.5,0.0390625,-0.1015625,1.046875
69,43.125,0.046875,-0.1015625,1.015625
70,43.75,0.046875,-0.0859375,1.0
71,44.375,0.0390625,-0.0703125,1.0
72,45.0,0.0625,-0.109375,1.015625
73,45.625,0.0546875,-0.0859375,1.0078125
74,46.25,0.046875,-0.09375,1.0078125
75,46.875,0.046875,-0.09375,1.0
76,47.5,0.0625,-0.125,1.0
