,n_z,n_w,optimal_spacing_mm
0,0,0,0.008001
1,0,2,0.008001
2,0,4,0.007001
3,0,6,0.007001
4,0,8,0.007001
5,0,10,0.007001
6,0,12,0.007001
7,0,14,0.011000999999999999
8,0,16,0.011000999999999999
9,0,18,0.011000999999999999
10,0,20,0.011000999999999999
11,0,22,0.010001
12,0,24,0.010001
13,0,26,0.010001
14,0,28,0.010001
15,0,30,0.010001
16,0,32,0.010001
17,0,34,0.009001
18,0,36,0.009001
19,0,38,0.009001
20,0,40,0.009001
21,0,42,0.009001
22,0,44,0.009001
23,0,46,0.009001
24,0,48,0.009001
25,0,50,0.009001
26,0,52,0.009001
27,0,54,0.008001
28,0,56,0.008001
29,0,58,0.008001
30,0,60,0.008001
31,0,62,0.008001
32,0,64,0.008001
33,0,66,0.008001
34,0,68,0.009001
35,0,70,0.009001
36,0,72,0.010001
37,0,74,0.011000999999999999
38,0,76,0.012001
39,0,78,0.013001
40,0,80,0.013001
41,0,82,0.013001
42,0,84,0.013001
43,0,86,0.012001
44,0,88,0.012001
45,0,90,0.012001
46,0,92,0.012001
47,0,94,0.012001
48,0,96,0.011000999999999999
49,0,98,0.011000999999999999
50,0,100,0.011000999999999999
51,0,102,0.011000999999999999
52,0,104,0.011000999999999999
53,0,106,0.010001
54,0,108,0.010001
55,0,110,0.010001
56,0,112,0.010001
57,0,114,0.010001
58,0,116,0.010001
59,0,118,0.010001
60,0,120,0.009001
61,0,122,0.009001
62,0,124,0.009001
63,0,126,0.009001
64,0,128,0.009001
65,0,130,0.009001
66,0,132,0.008001
67,0,134,0.008001
68,0,136,0.008001
69,0,138,0.008001
70,0,140,0.008001
71,0,142,0.008001
72,0,144,0.008001
73,0,146,0.018001000000000003
74,0,148,0.017001000000000002
75,0,150,0.015000999999999999
76,0,152,0.013001
77,0,154,0.012001
78,0,156,0.012001
79,0,158,0.011000999999999999
80,0,160,0.011000999999999999
81,0,162,0.011000999999999999
82,0,164,0.011000999999999999
83,0,166,0.010001
84,0,168,0.010001
85,0,170,0.010001
86,0,172,0.010001
87,0,174,0.010001
88,0,176,0.009001
89,0,178,0.009001
90,0,180,0.009001
91,0,182,0.009001
92,0,184,0.009001
93,0,186,0.009001
94,0,188,0.009001
95,0,190,0.009001
96,0,192,0.008001
97,0,194,0.008001
98,0,196,0.009001
99,0,198,0.009001
100,0,200,0.009001
101,2,0,0.008001
102,2,2,0.008001
103,2,4,0.008001
104,2,6,0.007001
105,2,8,0.021001000000000002
106,2,10,0.019001
107,2,12,0.015000999999999999
108,2,14,0.013001
109,2,16,0.013001
110,2,18,0.012001
111,2,20,0.012001
112,2,22,0.011000999999999999
113,2,24,0.011000999999999999
114,2,26,0.011000999999999999
115,2,28,0.011000999999999999
116,2,30,0.011000999999999999
117,2,32,0.011000999999999999
118,2,34,0.011000999999999999
119,2,36,0.010001
120,2,38,0.010001
121,2,40,0.010001
122,2,42,0.010001
123,2,44,0.010001
124,2,46,0.010001
125,2,48,0.010001
126,2,50,0.010001
127,2,52,0.010001
128,2,54,0.010001
129,2,56,0.010001
130,2,58,0.010001
131,2,60,0.010001
132,2,62,0.025001000000000002
