,n_z,n_w,optimal_spacing_mm
0,0,0,0.008001
1,0,2,0.008001
2,0,4,0.021001000000000002
3,0,6,0.020001
4,0,8,0.019001
5,0,10,0.018001000000000003
6,0,12,0.016001
7,0,14,0.015000999999999999
8,0,16,0.015000999999999999
9,0,18,0.015000999999999999
10,0,20,0.014001
11,0,22,0.014001
12,0,24,0.014001
13,0,26,0.014001
14,0,28,0.013001
15,0,30,0.013001
16,0,32,0.013001
17,0,34,0.012001
18,0,36,0.012001
19,0,38,0.011000999999999999
20,0,40,0.010001
21,0,42,0.010001
22,0,44,0.009001
23,0,46,0.009001
24,0,48,0.009001
25,0,50,0.008001
26,0,52,0.008001
27,0,54,0.008001
28,0,56,0.022001
29,0,58,0.022001
30,0,60,0.021001000000000002
31,0,62,0.020001
32,0,64,0.020001
33,0,66,0.019001
34,0,68,0.018001000000000003
35,0,70,0.017001000000000002
36,0,72,0.017001000000000002
37,0,74,0.016001
38,0,76,0.016001
39,0,78,0.016001
40,0,80,0.016001
41,0,82,0.015000999999999999
42,0,84,0.015000999999999999
43,0,86,0.015000999999999999
44,0,88,0.015000999999999999
45,0,90,0.015000999999999999
46,0,92,0.015000999999999999
47,0,94,0.015000999999999999
48,0,96,0.015000999999999999
49,0,98,0.015000999999999999
50,0,100,0.015000999999999999
51,0,102,0.015000999999999999
52,0,104,0.014001
53,0,106,0.014001
54,0,108,0.014001
55,0,110,0.014001
56,0,112,0.014001
57,0,114,0.014001
58,0,116,0.013001
59,0,118,0.013001
60,0,120,0.013001
61,0,122,0.012001
62,0,124,0.011000999999999999
63,0,126,0.010001
64,0,128,0.010001
65,0,130,0.009001
66,0,132,0.020001
67,0,134,0.020001
68,0,136,0.020001
69,0,138,0.019001
70,0,140,0.019001
71,0,142,0.018001000000000003
72,0,144,0.018001000000000003
73,0,146,0.017001000000000002
74,0,148,0.017001000000000002
75,0,150,0.017001000000000002
76,0,152,0.016001
77,0,154,0.016001
78,0,156,0.016001
79,0,158,0.016001
80,0,160,0.015000999999999999
81,0,162,0.015000999999999999
82,0,164,0.015000999999999999
83,0,166,0.015000999999999999
84,0,168,0.014001
85,0,170,0.014001
86,0,172,0.014001
87,0,174,0.013001
88,0,176,0.013001
89,0,178,0.012001
90,0,180,0.011000999999999999
91,0,182,0.010001
92,0,184,0.009001
93,0,186,0.009001
94,0,188,0.009001
95,0,190,0.022001
96,0,192,0.022001
97,0,194,0.021001000000000002
98,0,196,0.021001000000000002
99,0,198,0.020001
100,0,200,0.019001
101,2,0,0.009001
102,2,2,0.008001
103,2,4,0.021001000000000002
104,2,6,0.021001000000000002
105,2,8,0.020001
106,2,10,0.019001
107,2,12,0.018001000000000003
108,2,14,0.018001000000000003
109,2,16,0.018001000000000003
110,2,18,0.017001000000000002
111,2,20,0.018001000000000003
112,2,22,0.018001000000000003
113,2,24,0.018001000000000003
114,2,26,0.018001000000000003
115,2,28,0.018001000000000003
116,2,30,0.018001000000000003
117,2,32,0.019001
118,2,34,0.019001
119,2,36,0.019001
120,2,38,0.020001
121,2,40,0.020001
122,2,42,0.021001000000000002
123,2,44,0.021001000000000002
124,2,46,0.022001
125,2,48,0.022001
