,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,339,894,336,1159,1,-1
1,341,894,336,1160,1,-1
2,343,895,335,1160,1,-1
3,340,893,338,1160,1,-1
4,342,896,339,1163,1,-1
5,340,894,339,1163,1,-1
6,339,896,336,1163,1,-1
7,339,902,335,1167,1,-1
8,338,906,334,1169,1,-1
9,336,915,333,1174,1,-1
10,335,926,331,1177,1,-1
11,334,937,330,1179,1,-1
12,333,955,330,1180,1,-1
13,332,970,329,1179,1,-1
14,330,977,327,1176,1,-1
15,329,971,326,1172,1,-1
16,330,960,326,1167,1,-1
17,332,939,325,1162,1,-1
18,332,918,326,1151,1,-1
19,332,895,328,1144,1,-1
20,332,871,330,1138,1,-1
21,333,852,329,1130,1,-1
22,333,892,331,1129,0,-1
23,334,878,331,1129,0,-1
24,335,863,332,1129,0,-1
25,337,846,332,1128,0,-1
26,338,771,334,1130,1,-1
27,338,748,334,1132,1,-1
28,337,722,331,1128,1,-1
29,340,695,333,1131,1,-1
30,338,669,331,1131,1,-1
31,337,644,332,1131,1,-1
32,336,626,331,1128,1,-1
33,336,607,328,1129,1,-1
34,334,596,328,1132,1,-1
35,334,591,331,1133,1,-1
36,335,594,329,1133,1,-1
37,336,607,329,1137,1,-1
38,335,627,329,1140,1,-1
39,335,660,328,1142,1,-1
40,334,701,327,1146,1,-1
41,333,746,329,1146,1,-1
42,334,797,329,1147,1,-1
43,332,904,330,1149,0,-1
44,332,961,331,1152,0,-1
45,333,999,332,1154,0,-1
46,333,1024,332,1153,0,-1
47,334,1020,332,1155,0,-1
48,334,993,332,1152,0,-1
49,337,957,335,1154,0,-1
50,335,919,332,1152,0,-1
51,335,889,331,1154,0,-1
52,335,865,331,1154,0,-1
53,337,804,332,1157,1,-1
54,338,799,333,1153,1,-1
55,337,801,332,1155,1,-1
56,336,808,332,1156,1,-1
57,335,872,332,1156,0,-1
58,335,887,333,1156,0,-1
59,335,909,331,1158,0,-1
60,334,931,332,1158,0,-1
61,335,949,334,1158,0,-1
62,336,962,331,1156,0,-1
63,336,968,331,1160,0,-1
64,335,967,333,1160,0,-1
65,335,966,332,1159,0,-1
66,333,963,330,1161,0,-1
67,333,960,329,1161,0,-1
68,333,953,329,1160,0,-1
69,330,948,327,1160,0,-1
70,328,946,325,1158,0,-1
71,327,942,324,1163,0,-1
72,327,942,326,1163,0,-1
73,323,941,319,1164,0,-1
74,322,945,319,1169,0,-1
75,321,948,317,1169,0,-1
76,320,952,314,1170,0,-1
77,319,956,316,1170,0,-1
78,317,959,314,1171,0,-1
79,316,964,312,1176,0,-1
80,315,967,312,1174,0,-1
81,315,970,311,1175,0,-1
82,313,972,308,1179,0,-1
83,313,970,311,1179,0,-1
84,313,973,310,1177,0,-1
85,312,973,311,1179,0,-1
86,312,972,308,1179,0,-1
87,312,972,312,1180,0,-1
88,312,970,310,1178,0,-1
89,314,971,309,1176,0,-1
90,312,968,311,1175,0,-1
91,312,968,309,1174,0,-1
92,314,967,312,1174,0,-1
93,312,966,310,1173,0,-1
94,313,964,309,1170,0,-1
95,312,964,311,1168,0,-1
96,312,962,309,1168,0,-1
97,312,960,310,1167,0,-1
98,312,960,310,1168,0,-1
99,313,960,310,1165,0,-1
100,313,958,311,1164,0,-1
101,313,957,310,1164,0,-1
102,313,959,311,1164,0,-1
103,315,956,310,1164,0,-1
104,315,955,310,1164,0,-1
105,316,958,311,1162,0,-1
106,316,956,315,1163,0,-1
107,316,955,315,1160,0,-1
108,318,951,317,1159,0,-1
109,318,952,315,1157,0,-1
110,320,951,317,1155,0,-1
111,322,951,318,1150,0,-1
112,323,949,320,1150,0,-1
113,324,947,321,1145,0,-1
114,325,944,323,1141,0,-1
115,328,937,323,1138,0,-1
116,330,930,327,1138,0,-1
117,331,924,327,1131,0,-1
118,331,914,326,1132,0,-1
119,332,906,329,1133,0,-1
120,334,894,329,1132,0,-1
121,332,880,329,1127,0,-1
122,334,864,329,1133,0,-1
123,336,847,330,1132,0,-1
124,337,776,330,1138,1,-1
125,337,758,332,1142,1,-1
126,336,738,334,1146,1,-1
127,340,719,335,1153,1,-1
128,342,698,337,1160,1,-1
129,344,678,339,1166,1,-1
130,343,661,339,1172,1,-1
131,350,652,340,1180,1,-1
132,348,649,340,1185,1,-1
133,350,652,342,1189,1,-1
134,352,668,344,1191,1,-1
135,355,695,349,1192,1,-1
136,-1,-1,-1,-1,1,-1
137,385,823,380,1197,1,-1
138,360,964,359,1225,0,-1
139,363,1046,364,1220,0,-1
140,361,1053,362,1146,0,-1
141,-1,-1,-1,-1,0,-1
142,361,992,357,1185,0,-1
