,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,338,943,335,1154,0,-1
1,336,944,333,1154,0,-1
2,340,943,336,1156,0,-1
3,336,943,335,1158,0,-1
4,336,943,334,1158,0,-1
5,336,946,335,1155,0,-1
6,337,948,334,1158,0,-1
7,337,949,333,1161,0,-1
8,336,952,333,1163,0,-1
9,335,957,332,1164,0,-1
10,336,967,332,1168,0,-1
11,335,979,333,1172,0,-1
12,333,995,331,1168,0,-1
13,332,1011,331,1167,0,-1
14,332,1016,330,1160,0,-1
15,331,1010,330,1154,0,-1
16,329,993,328,1148,0,-1
17,330,970,328,1138,0,-1
18,331,942,329,1131,0,-1
19,331,926,328,1129,0,-1
20,332,909,329,1132,0,-1
21,335,890,330,1131,0,-1
22,337,879,332,1131,0,-1
23,339,870,335,1133,0,-1
24,342,854,338,1132,0,-1
25,344,841,340,1132,0,-1
26,346,772,341,1132,1,-1
27,349,755,342,1132,1,-1
28,350,735,344,1131,1,-1
29,349,712,343,1130,1,-1
30,348,690,342,1130,1,-1
31,348,672,343,1131,1,-1
32,349,659,342,1130,1,-1
33,346,651,340,1131,1,-1
34,348,653,340,1130,1,-1
35,343,658,340,1133,1,-1
36,343,669,338,1132,1,-1
37,341,689,334,1135,1,-1
38,340,722,334,1138,1,-1
39,337,757,332,1141,1,-1
40,337,800,331,1143,1,-1
41,333,899,329,1144,0,-1
42,332,945,327,1145,0,-1
43,331,990,330,1149,0,-1
44,330,1010,328,1151,0,-1
45,330,1011,329,1151,0,-1
46,330,999,329,1154,0,-1
47,331,970,329,1154,0,-1
48,332,950,329,1157,0,-1
49,334,930,331,1158,0,-1
50,332,917,329,1157,0,-1
51,332,907,329,1155,0,-1
52,333,901,329,1154,0,-1
53,333,901,331,1153,0,-1
54,334,903,331,1155,0,-1
55,335,910,332,1155,0,-1
56,335,922,332,1154,0,-1
57,335,931,332,1156,0,-1
58,333,941,333,1152,0,-1
59,335,954,331,1154,0,-1
60,333,964,331,1157,0,-1
61,334,972,332,1159,0,-1
62,334,973,330,1160,0,-1
63,334,973,331,1160,0,-1
64,335,969,332,1162,0,-1
65,334,965,332,1163,0,-1
66,334,960,331,1164,0,-1
67,334,952,332,1164,0,-1
68,335,947,332,1163,0,-1
69,335,941,331,1166,0,-1
70,335,938,333,1163,0,-1
71,334,939,331,1164,0,-1
72,335,941,333,1165,0,-1
73,337,942,332,1164,0,-1
74,335,945,332,1165,0,-1
75,335,947,333,1165,0,-1
76,335,951,333,1162,0,-1
77,337,953,334,1165,0,-1
78,336,955,335,1166,0,-1
79,336,954,332,1166,0,-1
80,337,956,333,1166,0,-1
81,336,954,333,1167,0,-1
82,335,956,334,1166,0,-1
83,335,954,333,1164,0,-1
84,336,955,333,1166,0,-1
85,336,955,332,1166,0,-1
86,337,954,334,1165,0,-1
87,336,955,335,1164,0,-1
88,343,956,333,1166,0,-1
89,341,957,338,1164,0,-1
90,340,959,335,1161,0,-1
91,340,960,338,1162,0,-1
92,342,963,339,1159,0,-1
93,343,966,343,1155,0,-1
94,347,966,343,1151,0,-1
95,348,963,346,1147,0,-1
96,349,959,348,1145,0,-1
97,353,950,352,1140,0,-1
98,355,941,353,1139,0,-1
99,355,932,352,1134,0,-1
100,358,920,352,1132,0,-1
101,358,906,354,1135,0,-1
102,358,888,356,1135,0,-1
103,359,874,357,1134,0,-1
104,359,858,354,1139,0,-1
105,359,785,354,1146,1,-1
106,359,765,354,1153,1,-1
107,358,747,353,1160,1,-1
108,358,725,351,1169,1,-1
109,357,700,352,1176,1,-1
110,359,676,353,1183,1,-1
111,359,643,353,1181,1,-1
112,360,612,354,1185,1,-1
113,365,599,355,1192,1,-1
114,362,605,353,1192,1,-1
115,358,626,353,1191,1,-1
116,360,659,352,1192,1,-1
117,359,704,352,1190,1,-1
118,-1,-1,-1,-1,1,-1
119,-1,-1,-1,-1,1,-1
120,353,955,352,1173,1,-1
121,351,1020,350,1164,1,-1
122,350,1011,348,1159,1,-1
123,348,935,343,1166,1,-1
124,350,819,343,1170,1,-1
125,351,777,344,1176,1,-1
126,352,716,343,1182,1,-1
127,353,659,343,1183,1,-1
128,355,612,344,1181,1,-1
129,356,581,344,1175,1,-1
130,352,580,344,1170,1,-1
131,351,590,345,1166,1,-1
132,351,607,343,1164,1,-1
133,351,633,345,1164,1,-1
134,350,667,341,1165,1,-1
135,349,698,344,1166,1,-1
136,350,737,344,1167,1,-1
137,349,773,346,1167,1,-1
138,348,808,343,1168,1,-1
139,346,886,342,1168,0,-1
140,347,928,343,1168,0,-1
141,345,966,343,1165,0,-1
142,345,1000,340,1166,0,-1
143,343,1023,339,1167,0,-1
144,344,1022,343,1169,0,-1
145,340,1007,340,1165,0,-1
146,342,984,339,1166,0,-1
147,342,958,339,1168,0,-1
148,342,937,341,1166,0,-1
149,341,918,338,1168,0,-1
150,342,912,339,1166,0,-1
151,341,909,338,1166,0,-1
152,343,910,338,1168,0,-1
153,340,915,336,1166,0,-1
154,339,921,336,1167,0,-1
155,340,932,337,1168,0,-1
156,342,940,336,1168,0,-1
157,339,950,337,1165,0,-1
158,342,960,339,1167,0,-1
159,340,969,338,1166,0,-1
160,340,973,337,1163,0,-1
161,340,977,337,1165,0,-1
162,341,975,338,1165,0,-1
163,342,972,338,1165,0,-1
164,342,968,339,1165,0,-1
165,341,961,337,1163,0,-1
166,341,956,339,1163,0,-1
167,343,952,338,1163,0,-1
168,342,950,338,1166,0,-1
169,340,950,338,1166,0,-1
170,343,951,338,1163,0,-1
171,342,952,338,1165,0,-1
172,342,951,341,1164,0,-1
173,342,952,340,1164,0,-1
174,340,953,338,1163,0,-1
175,345,954,339,1166,0,-1
176,343,954,339,1166,0,-1
177,344,957,340,1164,0,-1
178,343,956,339,1167,0,-1
179,343,956,340,1166,0,-1
180,344,957,340,1165,0,-1
181,342,958,339,1168,0,-1
182,343,957,341,1169,0,-1
183,344,958,340,1167,0,-1
184,344,957,341,1169,0,-1
185,342,958,340,1169,0,-1
186,344,958,343,1170,0,-1
187,343,960,341,1170,0,-1
188,345,960,342,1169,0,-1
189,345,961,342,1170,0,-1
190,345,961,341,1169,0,-1
191,345,961,340,1171,0,-1
