,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,339,950,330,1167,0,-1
1,340,949,333,1167,0,-1
2,340,950,334,1169,0,-1
3,337,955,330,1168,0,-1
4,339,956,331,1169,0,-1
5,334,960,330,1168,0,-1
6,336,963,331,1167,0,-1
7,334,972,328,1172,0,-1
8,337,982,331,1168,0,-1
9,337,987,332,1162,0,-1
10,336,995,333,1161,0,-1
11,341,1001,336,1158,0,-1
12,343,994,338,1152,0,-1
13,343,986,341,1147,0,-1
14,341,972,342,1144,0,-1
15,347,958,338,1140,0,-1
16,347,945,344,1134,0,-1
17,350,937,345,1140,0,-1
18,352,929,345,1137,0,-1
19,354,924,349,1136,0,-1
20,358,918,354,1137,0,-1
21,359,910,355,1137,0,-1
22,362,898,357,1138,0,-1
23,364,882,355,1134,0,-1
24,366,859,361,1133,0,-1
25,368,839,361,1138,0,-1
26,370,752,360,1136,1,-1
27,369,720,359,1135,1,-1
28,368,694,357,1138,1,-1
29,370,673,355,1138,1,-1
30,366,655,354,1135,1,-1
31,361,643,350,1137,1,-1
32,358,639,347,1138,1,-1
33,357,642,346,1136,1,-1
34,351,660,347,1136,1,-1
35,347,684,336,1138,1,-1
36,346,714,337,1143,1,-1
37,344,760,330,1146,1,-1
38,340,790,332,1145,1,-1
39,334,894,329,1150,0,-1
40,335,935,328,1154,0,-1
41,333,972,329,1155,0,-1
42,333,999,328,1160,0,-1
43,337,1022,329,1164,0,-1
44,333,1020,330,1164,0,-1
45,331,1000,329,1167,0,-1
46,334,974,328,1168,0,-1
47,335,942,330,1168,0,-1
48,337,917,327,1170,0,-1
49,337,901,328,1166,0,-1
50,337,887,333,1167,0,-1
51,336,876,330,1167,0,-1
52,339,875,329,1171,0,-1
53,338,878,331,1171,0,-1
54,339,884,334,1172,0,-1
55,337,896,330,1171,0,-1
56,338,912,331,1169,0,-1
57,341,934,333,1177,0,-1
58,338,963,335,1175,0,-1
59,336,982,332,1177,0,-1
60,339,1001,335,1175,0,-1
61,339,1014,334,1180,0,-1
62,338,1014,336,1179,0,-1
63,340,1007,335,1175,0,-1
64,340,993,335,1177,0,-1
65,341,978,336,1177,0,-1
66,342,969,336,1177,0,-1
67,342,958,335,1178,0,-1
68,341,951,335,1177,0,-1
69,341,945,335,1176,0,-1
70,342,943,337,1176,0,-1
71,340,946,336,1174,0,-1
72,343,947,337,1175,0,-1
73,344,949,334,1172,0,-1
74,343,954,334,1178,0,-1
75,341,959,335,1175,0,-1
76,344,962,338,1176,0,-1
77,343,968,337,1176,0,-1
78,344,971,338,1175,0,-1
79,345,971,339,1177,0,-1
80,343,972,337,1175,0,-1
81,344,970,338,1179,0,-1
82,345,972,342,1174,0,-1
83,348,969,342,1175,0,-1
84,347,968,344,1177,0,-1
85,347,968,344,1174,0,-1
86,347,970,339,1176,0,-1
87,345,968,342,1174,0,-1
88,343,967,337,1177,0,-1
89,345,967,342,1178,0,-1
90,346,966,340,1178,0,-1
91,348,967,339,1173,0,-1
92,344,965,339,1174,0,-1
93,345,967,341,1173,0,-1
94,343,965,339,1175,0,-1
95,346,964,342,1174,0,-1
96,346,965,342,1172,0,-1
97,346,964,343,1168,0,-1
98,346,963,345,1170,0,-1
99,346,959,341,1163,0,-1
100,346,960,342,1164,0,-1
101,349,959,340,1164,0,-1
102,348,958,339,1162,0,-1
103,350,956,343,1162,0,-1
104,351,956,344,1159,0,-1
105,354,954,345,1157,0,-1
106,354,950,351,1154,0,-1
107,356,944,351,1151,0,-1
108,356,941,352,1149,0,-1
109,357,938,353,1147,0,-1
110,358,935,353,1145,0,-1
111,360,927,356,1142,0,-1
112,362,924,357,1143,0,-1
113,362,912,358,1139,0,-1
114,363,904,359,1138,0,-1
115,362,894,357,1139,0,-1
116,359,882,354,1139,0,-1
117,359,868,349,1140,0,-1
118,358,849,351,1142,0,-1
119,355,844,348,1146,0,-1
120,354,763,344,1151,1,-1
121,350,735,340,1158,1,-1
122,347,714,336,1158,1,-1
123,345,693,332,1170,1,-1
124,341,675,330,1177,1,-1
125,337,660,324,1185,1,-1
126,334,652,317,1194,1,-1
127,329,645,315,1200,1,-1
128,321,637,306,1196,1,-1
129,321,642,311,1200,1,-1
130,353,626,343,1169,1,-1
131,411,726,397,1212,1,-1
132,310,780,298,1181,1,-1
133,304,928,297,1214,0,-1
134,303,1020,297,1237,0,-1
135,306,1080,301,1224,0,-1
136,325,1096,319,1218,0,-1
137,322,1063,319,1198,0,-1
138,323,1009,318,1201,0,-1
139,327,968,321,1193,0,-1
140,326,918,323,1187,0,-1
141,330,882,323,1184,0,-1
142,331,812,321,1180,1,-1
143,330,797,323,1178,1,-1
144,331,794,323,1181,1,-1
145,332,798,322,1183,1,-1
146,333,807,323,1181,1,-1
147,334,825,322,1182,1,-1
148,333,894,327,1182,0,-1
149,332,916,329,1178,0,-1
150,333,945,327,1182,0,-1
151,335,975,331,1180,0,-1
152,335,995,330,1177,0,-1
153,334,1010,327,1178,0,-1
154,335,1016,331,1177,0,-1
155,338,1007,331,1174,0,-1
156,334,994,331,1176,0,-1
157,337,978,330,1177,0,-1
158,337,962,333,1175,0,-1
159,334,943,331,1175,0,-1
160,338,936,331,1175,0,-1
161,338,925,334,1173,0,-1
