,time(ms),x_G,y_G,z_G
0,0.0,0.0,-0.03125,0.984375
1,0.625,0.0,0.0,1.0
2,1.25,0.0,-0.03125,1.0
3,1.875,0.0,-0.046875,1.015625
4,2.5,0.0,-0.0390625,1.0
5,3.125,0.0,0.0,1.0
6,3.75,0.0,0.0,1.015625
7,4.375,0.0,0.0,0.9921875
8,5.0,0.0,0.0,1.0
9,5.625,-0.0078125,-0.0234375,0.984375
10,6.25,0.0,0.0,1.0
11,6.875,-0.0234375,0.0,1.0
12,7.5,0.0,-0.03125,1.0
13,8.125,0.0,-0.0234375,1.0078125
14,8.75,0.0,-0.0234375,0.9765625
15,9.375,0.0,-0.03125,0.9921875
16,10.0,0.0,0.0,1.0
17,10.625,0.0,-0.0390625,0.9609375
18,11.25,0.0,-0.03125,0.9921875
19,11.875,0.0,-0.03125,0.9921875
20,12.5,0.0,-0.015625,1.0
21,13.125,0.0,-0.0390625,0.9921875
22,13.75,0.0,-0.03125,1.0
23,14.375,-0.015625,0.0,1.0
24,15.0,0.0,-0.03125,1.0
25,15.625,0.0,-0.0234375,0.9921875
26,16.25,0.0,-0.03125,0.984375
27,16.875,-0.015625,-0.0390625,0.984375
28,17.5,0.0,-0.0390625,1.0
29,18.125,-0.03125,-0.03125,0.9921875
30,18.75,-0.015625,0.0,1.0
31,19.375,0.0,-0.0234375,0.9921875
32,20.0,-0.0390625,-0.0234375,0.9921875
33,20.625,-0.015625,-0.03125,1.015625
34,21.25,0.0,-0.015625,1.0078125
35,21.875,-0.0234375,-0.0234375,1.0
36,22.5,-0.0234375,-0.015625,1.0
37,23.125,-0.046875,-0.0234375,1.0
38,23.75,0.0,-0.015625,1.0
39,24.375,-0.015625,-0.0390625,0.9765625
40,25.0,-0.03125,-0.03125,0.9765625
41,25.625,-0.0234375,0.0,0.9921875
42,26.25,-0.0234375,0.0,0.984375
43,26.875,0.0,-0.0234375,1.015625
44,27.5,0.0,-0.0390625,0.9921875
45,28.125,-0.0234375,-0.0234375,0.9921875
46,28.75,-0.0234375,-0.015625,1.0
47,29.375,0.0,-0.0234375,0.9921875
48,30.0,0.0,-0.03125,1.0
49,30.625,-0.015625,-0.03125,0.9921875
50,31.25,-0.0234375,-0.0234375,0.9921875
51,31.875,-0.015625,-0.03125,1.0
52,32.5,-0.015625,-0.046875,0.984375
53,33.125,-0.0390625,0.0,1.0
54,33.75,-0.03125,-0.03125,0.9921875
55,34.375,-0.03125,-0.015625,1.0
56,35.0,-0.03125,-0.0390625,1.0
57,35.625,-0.03125,-0.0234375,0.984375
58,36.25,-0.0234375,-0.0234375,1.0
59,36.875,-0.015625,0.0,1.0
60,37.5,0.0,-0.03125,0.9921875
61,38.125,-0.0390625,-0.03125,0.9921875
62,38.75,0.0,-0.0390625,0.984375
63,39.375,-0.015625,-0.0390625,1.0
64,40.0,0.0,-0.015625,0.9921875
65,40.625,-0.0234375,-0.0234375,0.9921875
66,41.25,-0.015625,-0.015625,1.0
67,41.875,-0.015625,-0.0390625,0.984375
68,42.5,-0.03125,-0.0234375,0.984375
69,43.125,-0.0234375,-0.0234375,0.9921875
70,43.75,-0.03125,0.0,1.0
71,44.375,-0.03125,-0.0234375,1.0
72,45.0,-0.03125,-0.03125,1.0078125
73,45.625,-0.0390625,0.0,0.9921875
74,46.25,0.0,0.0,1.0
75,46.875,-0.0234375,0.0,1.0
76,47.5,-0.046875,-0.0234375,1.0
77,48.125,-0.015625,-0.0234375,1.015625
78,48.75,-0.015625,-0.0234375,1.015625
79,49.375,-0.03125,0.0,1.0
80,50.0,-0.03125,-0.0390625,1.0
81,50.625,-0.015625,-0.03125,0.9921875
82,51.25,-0.0546875,-0.03125,0.9765625
83,51.875,-0.0390625,0.0,1.0
84,52.5,0.0,-0.03125,0.9765625
85,53.125,-0.03125,-0.015625,0.9765625
86,53.75,0.0,-0.0390625,0.9921875
87,54.375,-0.03125,-0.0234375,1.0
88,55.0,0.0,-0.015625,1.0
89,55.625,-0.03125,-0.03125,0.9921875
90,56.25,0.0,-0.03125,1.0
91,56.875,0.0,-0.0390625,1.0
92,57.5,-0.015625,-0.03125,1.0
93,58.125,-0.03125,-0.03125,0.9921875
94,58.75,-0.015625,-0.0234375,1.0
95,59.375,0.0,-0.0390625,1.0
96,60.0,-0.015625,-0.0234375,1.0
97,60.625,0.0,-0.046875,0.9921875
98,61.25,0.0,-0.0234375,0.9921875
99,61.875,0.0,-0.015625,1.0
100,62.5,-0.0234375,-0.03125,1.0
101,63.125,0.0,-0.03125,0.984375
102,63.75,-0.015625,-0.0234375,0.9921875
103,64.375,0.0,-0.0390625,0.9765625
104,65.0,-0.015625,-0.0234375,1.0
105,65.625,-0.015625,0.0,0.984375
106,66.25,0.0,-0.03125,0.9921875
107,66.875,-0.03125,-0.0234375,1.0
108,67.5,0.0,-0.03125,0.984375
109,68.125,-0.0234375,-0.0390625,1.0
110,68.75,0.0,-0.0625,1.0078125
111,69.375,-0.015625,-0.03125,1.0
112,70.0,0.0,-0.0234375,1.0
113,70.625,0.0,-0.03125,0.9921875
114,71.25,-0.03125,-0.015625,1.0
115,71.875,-0.0234375,-0.0234375,1.0
116,72.5,0.0,-0.015625,1.0
117,73.125,0.0,0.0,1.0078125
118,73.75,-0.0234375,0.0,1.0
119,74.375,0.0,-0.0234375,0.9921875
120,75.0,-0.0234375,-0.03125,1.0
121,75.625,0.0,-0.03125,1.0
122,76.25,-0.0234375,-0.03125,1.0078125
123,76.875,-0.015625,-0.0234375,1.0
124,77.5,-0.046875,-0.0234375,0.9921875
125,78.125,-0.0234375,-0.03125,1.0
126,78.75,-0.0390625,0.0,1.0
127,79.375,-0.015625,0.0,0.9921875
128,80.0,0.0,-0.0390625,1.0
129,80.625,0.0,-0.0546875,0.9921875
130,81.25,0.0078125,-0.0625,1.0078125
131,81.875,0.0,-0.03125,1.0
132,82.5,-0.0234375,-0.0390625,1.0234375
133,83.125,0.0,-0.0546875,1.0
134,83.75,-0.015625,-0.0546875,0.9921875
135,84.375,0.0,-0.0234375,1.0
136,85.0,0.0,-0.046875,1.0078125
137,85.625,0.0,-0.046875,1.015625
138,86.25,-0.015625,-0.03125,1.0078125
139,86.875,-0.0234375,0.0,1.015625
140,87.5,0.0,-0.0234375,1.0078125
141,88.125,0.0,-0.03125,1.0078125
142,88.75,0.0,-0.0390625,1.015625
143,89.375,0.0,-0.046875,1.0
144,90.0,-0.015625,-0.03125,1.0078125
145,90.625,0.0,-0.046875,0.9921875
146,91.25,0.0,-0.0390625,1.0
147,91.875,0.0,-0.0546875,1.0
148,92.5,0.0,-0.03125,1.0
149,93.125,0.0,-0.03125,0.984375
150,93.75,0.0,-0.0390625,1.0
151,94.375,-0.0234375,-0.046875,1.015625
152,95.0,0.0,-0.0625,0.9921875
153,95.625,0.0,-0.0625,1.0
154,96.25,0.0,-0.015625,1.0
155,96.875,-0.0234375,-0.0546875,1.0
156,97.5,-0.0234375,-0.03125,1.0
157,98.125,-0.03125,-0.03125,1.0
158,98.75,0.0,-0.0390625,0.984375
159,99.375,0.0,-0.0390625,1.0
160,100.0,-0.0234375,-0.0390625,1.0
161,100.625,-0.015625,-0.0390625,1.0
162,101.25,-0.015625,-0.0390625,1.0234375
163,101.875,0.0,-0.0390625,1.0
164,102.5,0.0,-0.0625,1.0
165,103.125,-0.03125,-0.03125,1.0
166,103.75,-0.015625,-0.0234375,0.9921875
167,104.375,-0.0234375,-0.0390625,1.0078125
168,105.0,-0.015625,0.0,1.0
169,105.625,-0.0234375,-0.0390625,1.0
170,106.25,-0.03125,-0.03125,1.015625
171,106.875,-0.015625,-0.0390625,0.9921875
172,107.5,-0.0234375,-0.0234375,1.0078125
173,108.125,0.0,-0.0546875,1.0
174,108.75,-0.0234375,-0.03125,1.0
175,109.375,-0.0390625,-0.03125,1.0
176,110.0,-0.0234375,-0.03125,1.0
177,110.625,-0.015625,-0.03125,0.9921875
178,111.25,0.0,-0.015625,1.0
179,111.875,0.0,-0.015625,1.0
180,112.5,0.0078125,-0.046875,1.0
181,113.125,0.0,0.0,1.0
182,113.75,0.0,-0.03125,1.0
183,114.375,0.0,-0.0390625,1.0
184,115.0,0.0,-0.015625,1.0
185,115.625,-0.0234375,-0.03125,1.0
186,116.25,-0.03125,-0.0234375,1.0
187,116.875,-0.03125,-0.0546875,1.0
188,117.5,-0.0234375,-0.03125,1.015625
189,118.125,-0.0234375,0.0,1.0078125
190,118.75,-0.015625,-0.03125,1.0078125
191,119.375,0.0,-0.03125,0.9921875
192,120.0,-0.0234375,-0.0390625,1.015625
193,120.625,-0.015625,-0.03125,1.0078125
194,121.25,0.0,-0.03125,0.9921875
195,121.875,0.0,-0.03125,1.0
