,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,336,938,332,1147,0,-1
1,334,937,335,1147,0,-1
2,335,940,338,1147,0,-1
3,333,942,333,1151,0,-1
4,333,945,334,1153,0,-1
5,331,948,330,1157,0,-1
6,332,953,330,1162,0,-1
7,329,956,331,1165,0,-1
8,330,962,329,1169,0,-1
9,330,965,332,1171,0,-1
10,330,975,332,1172,0,-1
11,331,985,331,1170,0,-1
12,332,996,332,1173,0,-1
13,332,1009,334,1167,0,-1
14,329,1015,331,1165,0,-1
15,329,1012,330,1160,0,-1
16,328,999,328,1153,0,-1
17,329,981,325,1150,0,-1
18,326,957,329,1143,0,-1
19,326,934,326,1139,0,-1
20,323,915,321,1134,0,-1
21,323,897,324,1135,0,-1
22,323,881,323,1134,0,-1
23,321,867,325,1137,0,-1
24,323,846,326,1136,0,-1
25,324,830,327,1136,0,-1
26,325,753,327,1136,1,-1
27,327,724,330,1138,1,-1
28,326,696,328,1136,1,-1
29,328,670,328,1139,1,-1
30,328,645,329,1141,1,-1
31,328,622,329,1145,1,-1
32,329,606,328,1144,1,-1
33,332,594,332,1145,1,-1
34,330,590,333,1140,1,-1
35,330,599,331,1144,1,-1
36,333,614,333,1141,1,-1
37,329,634,335,1145,1,-1
38,331,667,333,1144,1,-1
39,331,703,331,1147,1,-1
40,332,741,334,1149,1,-1
41,334,845,334,1150,0,-1
42,333,869,329,1149,0,-1
43,330,896,332,1151,0,-1
44,335,920,334,1148,0,-1
45,334,942,334,1145,0,-1
46,335,968,337,1147,0,-1
47,336,978,335,1148,0,-1
48,335,981,334,1149,0,-1
49,332,976,337,1146,0,-1
50,339,965,333,1150,0,-1
51,338,951,338,1152,0,-1
52,337,933,338,1152,0,-1
53,337,919,340,1150,0,-1
54,338,910,340,1154,0,-1
55,339,899,340,1153,0,-1
56,341,897,340,1152,0,-1
57,342,900,340,1155,0,-1
58,339,907,339,1153,0,-1
59,342,915,343,1156,0,-1
60,342,924,342,1152,0,-1
61,342,933,342,1153,0,-1
62,340,944,343,1157,0,-1
63,342,955,336,1154,0,-1
64,341,960,342,1155,0,-1
65,339,964,340,1154,0,-1
66,339,962,337,1154,0,-1
67,336,962,339,1158,0,-1
68,337,958,339,1155,0,-1
69,337,954,336,1159,0,-1
70,336,950,337,1161,0,-1
71,338,947,336,1158,0,-1
72,337,941,334,1162,0,-1
73,335,939,337,1160,0,-1
74,338,941,339,1160,0,-1
75,336,941,335,1158,0,-1
76,336,940,339,1160,0,-1
77,337,943,334,1159,0,-1
78,337,943,339,1159,0,-1
79,337,942,338,1158,0,-1
80,337,943,339,1158,0,-1
81,337,944,337,1160,0,-1
82,338,945,337,1160,0,-1
83,338,946,338,1161,0,-1
84,336,946,339,1159,0,-1
85,338,946,339,1160,0,-1
86,340,945,337,1156,0,-1
87,338,946,337,1161,0,-1
88,336,945,337,1160,0,-1
89,338,948,338,1163,0,-1
90,335,948,340,1160,0,-1
91,337,950,340,1162,0,-1
92,336,953,338,1163,0,-1
93,339,951,339,1162,0,-1
94,339,956,338,1158,0,-1
95,336,958,338,1157,0,-1
96,338,959,335,1159,0,-1
97,338,964,339,1152,0,-1
98,344,964,344,1151,0,-1
99,342,962,343,1148,0,-1
100,345,955,346,1145,0,-1
101,344,952,346,1138,0,-1
102,347,942,346,1135,0,-1
103,347,933,347,1136,0,-1
104,348,923,350,1136,0,-1
105,350,908,349,1132,0,-1
106,350,894,350,1135,0,-1
107,353,877,354,1138,0,-1
108,351,860,352,1142,0,-1
109,353,841,354,1144,0,-1
110,351,843,353,1149,0,-1
111,350,755,347,1153,1,-1
112,352,731,352,1161,1,-1
113,345,708,347,1162,1,-1
114,347,684,347,1165,1,-1
115,344,653,350,1172,1,-1
116,344,625,345,1176,1,-1
117,346,602,344,1183,1,-1
118,343,619,344,1198,1,-1
119,339,639,342,1199,1,-1
120,339,659,343,1196,1,-1
121,338,698,340,1198,1,-1
122,333,745,334,1195,1,-1
123,333,799,335,1195,1,-1
124,331,913,333,1201,0,-1
125,322,1026,324,1242,0,-1
126,332,1061,328,1180,0,-1
127,333,1162,337,1233,0,-1
128,335,1073,331,1217,0,-1
129,333,958,332,1183,0,-1
130,331,914,334,1204,0,-1
131,328,799,328,1197,1,-1
132,326,766,328,1197,1,-1
133,326,728,326,1197,1,-1
134,329,708,329,1188,1,-1
135,327,701,328,1190,1,-1
136,329,705,329,1185,1,-1
137,331,714,331,1185,1,-1
138,333,732,332,1185,1,-1
139,332,759,333,1185,1,-1
140,334,786,332,1182,1,-1
141,334,880,337,1181,0,-1
142,335,905,336,1183,0,-1
143,334,943,332,1180,0,-1
144,335,983,334,1180,0,-1
145,334,1022,337,1178,0,-1
146,333,1043,335,1179,0,-1
147,334,1044,336,1177,0,-1
148,333,1025,334,1179,0,-1
149,334,992,334,1177,0,-1
150,332,956,333,1178,0,-1
151,331,926,336,1178,0,-1
152,336,909,337,1176,0,-1
153,332,890,334,1174,0,-1
154,331,882,333,1179,0,-1
155,332,879,330,1174,0,-1
156,332,879,331,1178,0,-1
157,330,885,329,1176,0,-1
158,330,899,332,1174,0,-1
159,330,916,331,1178,0,-1
160,332,933,335,1172,0,-1
161,331,956,334,1175,0,-1
162,334,977,335,1177,0,-1
163,332,993,330,1172,0,-1
164,334,1005,334,1168,0,-1
165,333,1006,332,1173,0,-1
166,335,1001,334,1173,0,-1
167,335,989,332,1175,0,-1
168,334,975,335,1176,0,-1
169,334,961,333,1174,0,-1
170,333,948,336,1174,0,-1
171,333,938,337,1177,0,-1
172,333,932,335,1178,0,-1
173,332,928,334,1178,0,-1
174,333,929,331,1179,0,-1
175,331,933,335,1179,0,-1
176,332,939,334,1176,0,-1
177,332,946,335,1179,0,-1
178,334,956,331,1182,0,-1
179,331,966,333,1181,0,-1
180,333,973,336,1181,0,-1
181,332,985,335,1182,0,-1
182,334,988,334,1185,0,-1
183,335,990,331,1182,0,-1
184,333,988,335,1183,0,-1
185,333,987,334,1187,0,-1
186,332,984,334,1183,0,-1
187,334,980,334,1181,0,-1
188,334,976,335,1184,0,-1
189,334,969,337,1180,0,-1
190,333,966,333,1180,0,-1
191,333,964,333,1175,0,-1
192,335,962,336,1177,0,-1
193,332,959,335,1176,0,-1
194,333,960,334,1174,0,-1
195,335,959,337,1171,0,-1
196,337,959,337,1176,0,-1
197,334,958,335,1174,0,-1
198,335,959,337,1171,0,-1
199,335,958,337,1175,0,-1
200,336,958,337,1173,0,-1
201,336,960,338,1173,0,-1
