,start_x,start_y,end_x,end_y,top_of_magnet,y_pixel_scale
0,337,1240,337,963,1,-0.18518518518518517
1,337,1239,339,966,1,-0.18518518518518517
2,338,1241,338,966,1,-0.18518518518518517
3,336,1240,337,963,1,-0.18518518518518517
4,338,1240,338,966,1,-0.18518518518518517
5,338,1238,337,963,1,-0.18518518518518517
6,337,1241,338,966,1,-0.18518518518518517
7,338,1241,338,965,1,-0.18518518518518517
8,336,1242,339,967,1,-0.18518518518518517
9,336,1239,338,966,1,-0.18518518518518517
10,337,1240,338,965,1,-0.18518518518518517
11,334,1240,338,965,1,-0.18518518518518517
12,338,1240,336,962,1,-0.18518518518518517
13,337,1238,336,963,1,-0.18518518518518517
14,339,1239,339,964,1,-0.18518518518518517
15,337,1239,339,963,1,-0.18518518518518517
16,337,1241,338,964,1,-0.18518518518518517
17,338,1240,340,966,1,-0.18518518518518517
18,341,1245,341,970,1,-0.18518518518518517
19,341,1244,341,972,1,-0.18518518518518517
20,344,1248,345,976,1,-0.18518518518518517
21,344,1248,343,980,1,-0.18518518518518517
22,346,1250,349,994,1,-0.18518518518518517
23,349,1248,348,1000,1,-0.18518518518518517
24,348,1245,351,1019,1,-0.18518518518518517
25,348,1244,346,1021,1,-0.18518518518518517
26,337,1237,339,1023,1,-0.18518518518518517
27,334,1233,334,1018,1,-0.18518518518518517
28,373,1174,375,959,1,-0.18518518518518517
29,338,1221,340,979,1,-0.18518518518518517
30,347,1210,350,938,1,-0.18518518518518517
31,352,1213,352,917,1,-0.18518518518518517
32,357,1212,357,940,0,-0.18518518518518517
33,358,1217,356,916,0,-0.18518518518518517
34,361,1216,361,832,1,-0.18518518518518517
35,361,1215,361,809,1,-0.18518518518518517
36,365,1213,363,768,1,-0.18518518518518517
37,364,1215,364,742,1,-0.18518518518518517
38,364,1216,365,694,1,-0.18518518518518517
39,362,1219,365,671,1,-0.18518518518518517
40,362,1217,367,636,1,-0.18518518518518517
41,365,1216,366,614,1,-0.18518518518518517
42,363,1212,367,589,1,-0.18518518518518517
43,364,1216,367,594,1,-0.18518518518518517
44,362,1213,364,612,1,-0.18518518518518517
45,364,1215,365,627,1,-0.18518518518518517
46,362,1216,364,673,1,-0.18518518518518517
47,361,1219,361,706,1,-0.18518518518518517
48,358,1221,357,781,1,-0.18518518518518517
49,358,1219,357,820,1,-0.18518518518518517
50,360,1222,363,947,0,-0.18518518518518517
51,358,1226,357,998,0,-0.18518518518518517
52,355,1223,358,1102,0,-0.18518518518518517
53,350,1226,355,1119,0,-0.18518518518518517
54,355,1224,354,1083,0,-0.18518518518518517
55,355,1227,357,1057,0,-0.18518518518518517
56,355,1224,356,966,0,-0.18518518518518517
57,356,1226,357,940,0,-0.18518518518518517
58,356,1223,355,816,1,-0.18518518518518517
59,355,1228,353,792,1,-0.18518518518518517
60,353,1224,355,755,1,-0.18518518518518517
