"Time [ms]","FluxLinkage(Winding1) [Wb] - coil_height='0.008meter' winding_num_r='15' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - coil_height='0.012meter' winding_num_r='15' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - coil_height='0.014meter' winding_num_r='5' winding_num_z='66'"
0,-1.32314972974345E-005,-2.57391706326868E-005,-1.42852756290002E-005
4,-1.40540444950966E-005,-2.72606635751844E-005,-1.52088103249079E-005
8,-1.49816492733064E-005,-2.91265425552817E-005,-1.62007743069043E-005
12,-1.59000171654155E-005,-3.10830720985513E-005,-1.72334179841687E-005
16,-1.68967152769177E-005,-3.32083835487194E-005,-1.84406526922144E-005
20,-1.81481657392918E-005,-3.54996618182081E-005,-1.973625411144E-005
24,-1.93068561657932E-005,-3.78591728260771E-005,-2.11362954022976E-005
28,-2.0665421898296E-005,-4.04874923536944E-005,-2.26584929084544E-005
32,-2.21483421956002E-005,-4.35674688953379E-005,-2.43077481962112E-005
36,-2.37619789073069E-005,-4.66997339864329E-005,-2.61108891525879E-005
40,-2.5526381449219E-005,-5.02011684340801E-005,-2.80266321247322E-005
44,-2.74591546765352E-005,-5.41335298029495E-005,-3.02360308912203E-005
48,-2.95961018277343E-005,-5.83310349438027E-005,-3.25731710351383E-005
52,-3.2080916832539E-005,-6.29441535693655E-005,-3.51693518136366E-005
56,-3.46299995577326E-005,-6.79942608832443E-005,-3.80181255712348E-005
60,-3.74627868112561E-005,-7.35498503285309E-005,-4.11300732126912E-005
64,-4.03487557778881E-005,-7.95954144463466E-005,-4.45828788986013E-005
68,-4.37869349484558E-005,-8.64715613222681E-005,-4.84412630327023E-005
72,-4.74754599664644E-005,-9.40570416331056E-005,-5.28310326747627E-005
76,-5.18052197029092E-005,-0.000102649049484972,-5.76559949899671E-005
80,-5.68996177854638E-005,-0.000111667700709286,-6.29983725777289E-005
84,-6.21699894222394E-005,-0.000122438743892936,-6.89971176379166E-005
88.0000000000001,-6.8108682461438E-005,-0.000134129724316465,-7.57224529325312E-005
92.0000000000001,-7.48211754826732E-005,-0.000147343690886805,-8.32973760358602E-005
96.0000000000001,-8.24321286201319E-005,-0.000162423496571691,-9.20696687545121E-005
100,-9.04898535050842E-005,-0.000179767548489645,-0.000101810392935924
104,-0.000100408485850505,-0.000198364385667869,-0.000113057017135154
108,-0.000110987570656214,-0.000221254395035959,-0.000125876417506501
